Symbol, Name, Max Price, Max Price on, Least Price, Least Price on, Price on P-2M before, Date on P-2M before, Latest Close Price, P/E Ratio,  % Up from Low,  % Down from Max,  % Change from last P-2M
543417, RATEGAIN    , 400.55, 2022-04-07, 279.45, 2022-03-07, 349.7, 2022-03-24, 367.7, 0.0, 31.58, 8.2, 5.15
540222, LAURUSLABS  , 611.0, 2022-04-21, 528.0, 2022-03-07, 604.05, 2022-03-24, 598.9, 36.16, 13.43, 1.98, -0.85
532440, MPS LTD     , 647.1, 2022-03-21, 590.15, 2022-03-31, 614.65, 2022-03-24, 587.95, 13.62, -0.37, 9.14, -4.34
500247, KOTAK MAH.BK, 1842.65, 2022-02-28, 1711.5, 2022-04-19, 1713.4, 2022-03-24, 1710.95, 31.47, -0.03, 7.15, -0.14
540900, NEWGEN      , 521.5, 2022-03-14, 465.8, 2022-03-31, 508.05, 2022-03-24, 467.45, 20.82, 0.35, 10.36, -7.99
500408, TATA ELXSI  , 9034.75, 2022-03-28, 6431.55, 2022-02-28, 7603.55, 2022-03-24, 8060.0, 91.32, 25.32, 10.79, 6.0
532163, SAREGAMA (I), 5004.45, 2022-04-13, 3938.15, 2022-02-28, 4448.3, 2022-03-24, 4555.35, 56.96, 15.67, 8.97, 2.41
523648, PLASTIBLEND , 236.55, 2022-04-11, 196.85, 2022-03-31, 216.45, 2022-03-24, 231.9, 16.53, 17.81, 1.97, 7.14
540704, MATRIMONY   , 776.1, 2022-04-21, 666.7, 2022-03-31, 692.8, 2022-03-24, 746.05, 32.84, 11.9, 3.87, 7.69
500770, TATA CHEM.  , 1006.45, 2022-04-11, 841.65, 2022-02-28, 972.4, 2022-03-24, 951.0, 29.25, 12.99, 5.51, -2.2
519183, ADF FOODS LT, 816.9, 2022-04-11, 679.1, 2022-03-29, 718.6, 2022-03-24, 774.85, 31.6, 14.1, 5.15, 7.83
500010, HDFC        , 2678.9, 2022-04-04, 2120.65, 2022-03-07, 2310.9, 2022-03-24, 2181.85, 18.43, 2.89, 18.55, -5.58
532513, TVSELE      , 275.45, 2022-04-06, 203.2, 2022-03-07, 222.6, 2022-03-24, 255.25, 29.02, 25.62, 7.33, 14.67
500696, HIND UNI LT , 2196.85, 2022-04-21, 1943.2, 2022-03-07, 1964.0, 2022-03-24, 2067.0, 55.43, 6.37, 5.91, 5.24
543300, SONACOMS    , 689.65, 2022-03-23, 569.6, 2022-03-08, 675.4, 2022-03-24, 674.5, 0.0, 18.42, 2.2, -0.13
542651, KPITTECH    , 622.55, 2022-04-04, 542.15, 2022-04-22, 602.65, 2022-03-24, 534.05, 58.9, -1.49, 14.22, -11.38
506076, GRIND NORTON, 1959.7, 2022-04-11, 1602.7, 2022-03-02, 1760.7, 2022-03-24, 1729.0, 66.83, 7.88, 11.77, -1.8
543384, NYKAA       , 1877.55, 2022-04-11, 1291.15, 2022-02-28, 1581.05, 2022-03-24, 1800.25, 0.0, 39.43, 4.12, 13.86
540699, DIXON       , 4640.35, 2022-04-05, 4058.15, 2022-03-07, 4324.95, 2022-03-24, 4250.85, 150.03, 4.75, 8.39, -1.71
