SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1410.05,1443.05,1410.05,1432.30,1438.85,1408.60,726,21127,30043006.00,,INE117A01022,18-Apr-19,,
500003,AEGIS LOGIS ,A ,Q,209.40,210.75,207.50,208.35,207.50,210.25,58,2655,555578.00,,INE208C01025,18-Apr-19,,
500008,AMAR RAJA BA,A ,Q,709.40,710.70,692.00,693.75,693.75,704.45,647,21976,15369888.00,,INE885A01032,18-Apr-19,,
500009,A.SARABHAI  ,X ,Q,15.30,15.50,14.50,14.59,14.59,15.13,100,24729,370834.00,,INE432A01017,18-Apr-19,,
500010,HDFC        ,A ,Q,2031.00,2048.25,1999.15,2003.90,2003.90,2027.40,1931,39502,79563338.00,,INE001A01036,18-Apr-19,,
500012,ANDHRA PETRO,X ,Q,55.70,56.30,55.10,56.05,56.20,55.70,151,26999,1502301.00,,INE714B01016,18-Apr-19,,
500013,ANSAL INFRAS,B ,Q,11.22,11.40,11.04,11.06,11.04,11.43,69,58786,656837.00,,INE436A01026,18-Apr-19,,
500014,APPLE FINANC,XT,Q,1.70,1.70,1.54,1.54,1.54,1.62,10,1568,2501.00,,INE096A01010,18-Apr-19,,
500020,BOM DYEING  ,A ,Q,135.50,135.90,124.15,129.95,129.95,134.90,3851,307902,39784315.00,,INE032A01023,18-Apr-19,,
500023,ASIANHOTNR  ,B ,Q,132.00,132.00,132.00,132.00,132.00,132.00,1,1,132.00,,INE363A01022,18-Apr-19,,
500024,ASSAMCO     ,T ,Q,2.06,2.17,2.06,2.09,2.09,2.13,28,36339,76090.00,,INE442A01024,18-Apr-19,,
500027,ATUL LTD.   ,A ,Q,3550.00,3562.45,3485.00,3545.45,3544.95,3541.55,152,568,2004670.00,,INE100A01010,18-Apr-19,,
500028,ATV PROJECTS,XT,Q,5.95,5.95,5.65,5.65,5.65,5.90,13,4399,24952.00,,INE447A01015,18-Apr-19,,
500029,AUTOLITE(I) ,B ,Q,39.75,40.35,36.50,37.45,37.05,38.00,28,4612,181390.00,,INE448A01013,18-Apr-19,,
500031,BAJAJ ELECT.,A ,Q,577.10,578.00,563.20,566.80,566.80,577.00,694,19137,10907087.00,,INE193E01025,18-Apr-19,,
500032,BAJAJHIND   ,B ,Q,8.80,8.90,8.59,8.65,8.65,8.84,281,296314,2580869.00,,INE306A01021,18-Apr-19,,
500033,FORCE MOTR  ,A ,Q,1792.00,1798.00,1752.00,1761.85,1761.85,1790.85,1075,11697,20700558.00,,INE451A01017,18-Apr-19,,
500034,BAJFINANCE  ,A ,Q,3059.95,3059.95,2995.50,3013.80,3013.80,3031.40,2083,30665,92525936.00,,INE296A01024,18-Apr-19,,
500038,BALRAM.CHINI,A ,Q,140.60,146.80,139.35,145.75,145.75,140.65,2741,249765,35827190.00,,INE119A01028,18-Apr-19,,
500039,BANCO PROD. ,B ,Q,151.85,156.05,151.85,155.40,155.70,151.80,161,8262,1274577.00,,INE213C01025,18-Apr-19,,
500040,CENTURY TEXT,A ,Q,934.00,944.75,915.00,940.15,940.00,928.45,950,34701,32438107.00,,INE055A01016,18-Apr-19,,
500041,BANNARI AMAN,B ,Q,1524.00,1524.00,1515.00,1515.00,1515.00,1494.90,5,5,7584.00,,INE459A01010,18-Apr-19,,
500042,BASF INDIA  ,A ,Q,1381.05,1384.60,1374.50,1378.00,1378.00,1381.10,58,884,1218870.00,,INE373A01013,18-Apr-19,,
500043,BATA INDIA  ,A ,Q,1431.00,1439.05,1419.75,1422.15,1421.50,1430.25,619,17931,25580170.00,,INE176A01028,18-Apr-19,,
500048,BEML LTD    ,A ,Q,966.00,969.00,948.85,953.40,953.40,965.40,1134,38874,37204540.00,,INE258A01016,18-Apr-19,,
500049,BHARAT ELECT,A ,Q,94.45,94.55,92.10,92.45,92.45,94.15,1196,329753,30643751.00,,INE263A01024,18-Apr-19,,
500052,BHANSALI ENG,B ,Q,83.70,84.60,78.80,80.95,80.95,83.70,1339,182250,14745223.00,,INE922A01025,18-Apr-19,,
500055,TATASTLBSL  ,B ,Q,37.80,38.10,33.45,34.75,34.75,36.75,1735,512253,18018629.00,,INE824B01021,18-Apr-19,,
500058,BIHAR SPONGE,XT,Q,1.00,1.05,1.00,1.00,1.00,1.05,6,5369,5419.00,,INE819C01011,18-Apr-19,,
