SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1826.00,1856.10,1777.20,1809.80,1800.00,1824.30,2299,17954,32925847.00,,INE117A01022,28-Jun-21,,
500003,AEGIS LOGIS ,A ,Q,362.70,362.95,348.15,349.15,349.55,362.00,1618,38071,13465099.00,,INE208C01025,28-Jun-21,,
500008,AMAR RAJA BA,A ,Q,752.70,754.95,747.05,751.30,751.30,745.15,1520,28459,21400202.00,,INE885A01032,28-Jun-21,,
500009,A.SARABHAI  ,X ,Q,36.00,36.90,34.60,34.80,34.80,35.80,2605,422663,14904249.00,,INE432A01017,28-Jun-21,,
500010,HDFC        ,A ,Q,2517.80,2523.00,2492.85,2494.90,2494.90,2507.60,4220,66335,165905830.00,,INE001A01036,28-Jun-21,,
500012,ANDHRA PETRO,X ,Q,107.40,111.95,104.00,110.10,110.10,103.20,3052,522920,56919717.00,,INE714B01016,28-Jun-21,,
500013,ANSAL INFRAS,T ,Q,8.39,8.39,7.87,8.02,8.02,8.15,75,42952,344602.00,,INE436A01026,28-Jun-21,,
500014,UTIQUE      ,X ,Q,3.70,3.70,3.69,3.69,3.69,3.76,51,17185,63553.00,,INE096A01010,28-Jun-21,,
500016,ARUNAHTEL   ,XT,Q,14.06,14.06,14.06,14.06,14.06,13.79,7,481,6762.00,,INE957C01019,28-Jun-21,,
500020,BOM DYEING  ,A ,Q,92.00,92.30,90.30,91.20,91.20,91.90,3292,585494,53353142.00,,INE032A01023,28-Jun-21,,
500023,ASIANHOTNR  ,B ,Q,93.95,93.95,89.05,89.35,89.10,89.55,32,994,89097.00,,INE363A01022,28-Jun-21,,
500027,ATUL LTD.   ,A ,Q,8935.00,9023.95,8875.60,8940.80,8925.00,8880.80,987,2392,21459445.00,,INE100A01010,28-Jun-21,,
500028,ATV PROJECTS,XT,Q,8.00,8.06,7.68,8.06,8.06,7.68,95,56091,451645.00,,INE447A01015,28-Jun-21,,
500029,AUTOLITE(I) ,Z ,Q,16.00,16.95,16.00,16.35,16.35,16.80,33,3485,56300.00,,INE448A01013,28-Jun-21,,
500031,BAJAJ ELECT.,A ,Q,1064.90,1064.90,1025.15,1035.00,1035.00,1042.80,878,5680,5907196.00,,INE193E01025,28-Jun-21,,
500032,BAJAJHIND   ,A ,Q,18.57,18.57,18.57,18.57,18.57,17.69,1497,1788622,33214710.00,,INE306A01021,28-Jun-21,,
500033,FORCE MOTR  ,A ,Q,1201.95,1233.10,1196.00,1229.45,1229.45,1199.80,824,5000,6088920.00,,INE451A01017,28-Jun-21,,
500034,BAJFINANCE  ,A ,Q,6108.00,6119.45,6014.05,6035.25,6035.25,6074.65,3291,28308,171287451.00,,INE296A01024,28-Jun-21,,
500038,BALRAM.CHINI,A ,Q,357.75,369.85,351.40,361.25,361.25,350.65,4568,195392,70665990.00,,INE119A01028,28-Jun-21,,
500039,BANCO PROD. ,B ,Q,165.05,171.50,157.50,163.40,163.40,192.40,6635,292100,48259832.00,,INE213C01025,28-Jun-21,,
500040,CENTURY TEXT,A ,Q,594.00,606.25,593.35,598.65,596.00,599.20,1743,44750,26750931.00,,INE055A01016,28-Jun-21,,
500041,BANNARI AMAN,A ,Q,1821.25,2024.90,1812.00,1918.45,1918.45,1821.50,1335,6724,12874031.00,,INE459A01010,28-Jun-21,,
500042,BASF INDIA  ,A ,Q,2601.00,2637.75,2554.65,2564.00,2569.90,2597.95,979,4143,10718331.00,,INE373A01013,28-Jun-21,,
500043,BATA INDIA  ,A ,Q,1625.00,1634.50,1620.05,1625.15,1626.00,1630.25,1187,9597,15602207.00,,INE176A01028,28-Jun-21,,
