SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,947.90,962.35,915.90,928.80,928.80,934.30,605,3413,3194315.00,,INE117A01022,08-Apr-20,,
500003,AEGIS LOGIS ,A ,Q,153.35,158.25,148.00,156.30,156.30,143.90,930,16123,2485205.00,,INE208C01025,08-Apr-20,,
500008,AMAR RAJA BA,A ,Q,500.60,513.10,489.60,501.55,501.40,500.60,1061,16555,8318365.00,,INE885A01032,08-Apr-20,,
500009,A.SARABHAI  ,X ,Q,18.95,19.00,17.65,17.70,17.70,18.20,141,27515,499541.00,,INE432A01017,08-Apr-20,,
500010,HDFC        ,A ,Q,1541.00,1690.35,1540.00,1557.35,1557.35,1555.20,20441,377331,610029606.00,,INE001A01036,08-Apr-20,,
500012,ANDHRA PETRO,Z ,Q,18.75,19.10,17.50,18.00,18.60,18.20,201,68075,1222949.00,,INE714B01016,08-Apr-20,,
500013,ANSAL INFRAS,B ,Q,3.78,3.84,3.78,3.84,3.84,3.66,20,4123,15726.00,,INE436A01026,08-Apr-20,,
500014,UTIQUE      ,X ,Q,1.15,1.15,1.15,1.15,1.15,1.15,7,1061,1220.00,,INE096A01010,08-Apr-20,,
500020,BOM DYEING  ,A ,Q,50.50,53.70,49.65,50.70,50.70,50.25,2508,205641,10550311.00,,INE032A01023,08-Apr-20,,
500027,ATUL LTD.   ,A ,Q,4015.00,4015.00,3921.85,3950.95,3950.95,3931.00,582,1470,5833701.00,,INE100A01010,08-Apr-20,,
500029,AUTOLITE(I) ,B ,Q,15.00,15.20,13.78,14.02,14.20,14.50,14,190,2695.00,,INE448A01013,08-Apr-20,,
500031,BAJAJ ELECT.,A ,Q,279.60,294.35,279.60,288.10,289.90,277.85,544,5010,1456016.00,,INE193E01025,08-Apr-20,,
