SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1312.00,1327.20,1299.80,1313.05,1313.05,1302.75,1211,12742,16690602.00,,INE117A01022,08-Jan-21,,
500003,AEGIS LOGIS ,A ,Q,258.85,261.35,253.60,258.25,258.25,258.30,1015,16520,4265848.00,,INE208C01025,08-Jan-21,,
500008,AMAR RAJA BA,A ,Q,995.00,1006.15,990.90,1002.10,1000.00,987.25,1575,33525,33500143.00,,INE885A01032,08-Jan-21,,
500009,A.SARABHAI  ,X ,Q,24.50,24.75,23.60,23.80,23.80,24.55,269,78703,1902914.00,,INE432A01017,08-Jan-21,,
500010,HDFC        ,A ,Q,2660.00,2671.25,2631.05,2653.40,2653.40,2661.60,5908,85824,227167169.00,,INE001A01036,08-Jan-21,,
500012,ANDHRA PETRO,X ,Q,61.40,63.50,58.35,61.65,61.65,61.40,1934,630621,38801749.00,,INE714B01016,08-Jan-21,,
500013,ANSAL INFRAS,T ,Q,11.36,11.36,11.36,11.36,11.36,11.95,31,17387,197516.00,,INE436A01026,08-Jan-21,,
500014,UTIQUE      ,X ,Q,2.55,2.56,2.55,2.56,2.56,2.44,40,21311,54529.00,,INE096A01010,08-Jan-21,,
500016,ARUNAHTEL   ,XT,Q,6.88,7.25,6.57,7.25,7.25,6.91,24,1990,13311.00,,INE957C01019,08-Jan-21,,
500020,BOM DYEING  ,A ,Q,82.75,83.45,80.60,81.15,81.15,82.50,3333,559594,45952862.00,,INE032A01023,08-Jan-21,,
500023,ASIANHOTNR  ,B ,Q,78.00,78.00,71.25,74.95,74.95,75.95,93,2293,169920.00,,INE363A01022,08-Jan-21,,
500027,ATUL LTD.   ,A ,Q,6620.00,6670.00,6585.05,6638.65,6601.30,6551.55,393,1197,7949902.00,,INE100A01010,08-Jan-21,,
500028,ATV PROJECTS,XT,Q,6.48,6.48,6.20,6.48,6.48,6.18,129,81253,521836.00,,INE447A01015,08-Jan-21,,
500029,AUTOLITE(I) ,B ,Q,24.75,24.75,24.00,24.30,24.30,24.60,15,495,12147.00,,INE448A01013,08-Jan-21,,
