SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1603.85,1666.35,1603.35,1653.20,1661.15,1607.15,869,26289,42859060.00,,INE117A01022,04-Jul-19,,
500003,AEGIS LOGIS ,A ,Q,206.00,208.00,200.00,206.80,206.80,200.40,325,7851,1597991.00,,INE208C01025,04-Jul-19,,
500008,AMAR RAJA BA,A ,Q,631.05,652.25,631.05,648.20,648.20,631.05,988,35989,23208153.00,,INE885A01032,04-Jul-19,,
500009,A.SARABHAI  ,X ,Q,13.31,13.31,12.88,13.03,13.25,13.19,47,11471,149520.00,,INE432A01017,04-Jul-19,,
500010,HDFC        ,A ,Q,2279.00,2285.00,2265.65,2281.00,2281.00,2278.65,2265,28800,65549444.00,,INE001A01036,04-Jul-19,,
500012,ANDHRA PETRO,X ,Q,52.05,55.00,52.05,53.50,53.70,53.60,259,40289,2178007.00,,INE714B01016,04-Jul-19,,
500013,ANSAL INFRAS,B ,Q,5.10,5.55,5.10,5.55,5.55,5.29,18,3567,19687.00,,INE436A01026,04-Jul-19,,
500014,APPLE FINANC,XT,Q,1.41,1.41,1.41,1.41,1.41,1.38,8,2718,3832.00,,INE096A01010,04-Jul-19,,
500020,BOM DYEING  ,A ,Q,110.00,112.40,108.90,109.70,109.70,109.55,2080,218863,24169277.00,,INE032A01023,04-Jul-19,,
500024,ASSAMCO     ,T ,Q,1.43,1.44,1.43,1.44,1.44,1.38,19,20700,29803.00,,INE442A01024,04-Jul-19,,
500027,ATUL LTD.   ,A ,Q,3976.10,3976.10,3943.15,3955.25,3951.00,3996.85,123,262,1037146.00,,INE100A01010,04-Jul-19,,
500028,ATV PROJECTS,XT,Q,3.79,3.97,3.61,3.63,3.62,3.79,10,1551,5796.00,,INE447A01015,04-Jul-19,,
500029,AUTOLITE(I) ,Z ,Q,28.85,28.85,27.50,27.50,27.50,27.50,2,40,1113.00,,INE448A01013,04-Jul-19,,
500031,BAJAJ ELECT.,A ,Q,533.00,536.65,528.25,533.00,531.00,534.10,186,3002,1596592.00,,INE193E01025,04-Jul-19,,
500032,BAJAJHIND   ,B ,Q,7.69,7.93,7.68,7.72,7.72,7.68,131,125592,978510.00,,INE306A01021,04-Jul-19,,
500033,FORCE MOTR  ,A ,Q,1407.75,1430.00,1389.00,1404.40,1404.40,1399.15,1633,21331,30135450.00,,INE451A01017,04-Jul-19,,
500034,BAJFINANCE  ,A ,Q,3720.00,3750.00,3707.60,3731.10,3731.10,3713.95,2495,45309,168787554.00,,INE296A01024,04-Jul-19,,
