SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,1238.00,1238.00,1190.00,1192.35,1191.00,1228.90,659,3091,3718186.00,,INE117A01022,24-Feb-20,,
500003,AEGIS LOGIS ,A ,Q,248.20,259.40,238.35,240.20,240.20,250.00,1020,13531,3354365.00,,INE208C01025,24-Feb-20,,
500008,AMAR RAJA BA,A ,Q,770.00,770.00,735.60,741.25,737.35,769.90,613,6890,5161626.00,,INE885A01032,24-Feb-20,,
500009,A.SARABHAI  ,XT,Q,20.25,20.25,18.55,19.05,19.05,19.50,148,40251,760636.00,,INE432A01017,24-Feb-20,,
500010,HDFC        ,A ,Q,2357.00,2363.05,2281.00,2292.85,2292.85,2370.90,7314,118429,274063248.00,,INE001A01036,24-Feb-20,,
500012,ANDHRA PETRO,X ,Q,27.75,27.75,25.10,25.40,25.25,25.85,129,26298,673282.00,,INE714B01016,24-Feb-20,,
500013,ANSAL INFRAS,B ,Q,5.65,6.27,5.65,6.26,6.27,5.70,120,58298,363233.00,,INE436A01026,24-Feb-20,,
500014,UTIQUE      ,X ,Q,1.40,1.52,1.40,1.47,1.47,1.39,9,2463,3692.00,,INE096A01010,24-Feb-20,,
500016,ARUNAHTEL   ,XT,Q,8.36,8.36,8.36,8.36,8.36,8.78,1,100,836.00,,INE957C01019,24-Feb-20,,
500020,BOM DYEING  ,A ,Q,81.65,82.40,78.55,78.90,78.90,81.65,1689,161293,12948733.00,,INE032A01023,24-Feb-20,,
500023,ASIANHOTNR  ,B ,Q,80.65,80.65,80.65,80.65,80.65,73.85,1,1,80.00,,INE363A01022,24-Feb-20,,
500027,ATUL LTD.   ,A ,Q,5202.30,5261.05,4942.90,4992.65,4992.65,5202.30,1491,5192,26463486.00,,INE100A01010,24-Feb-20,,
500028,ATV PROJECTS,XT,Q,4.14,4.34,3.94,3.95,3.94,4.14,19,2572,10365.00,,INE447A01015,24-Feb-20,,
500029,AUTOLITE(I) ,B ,Q,20.20,20.50,19.30,20.50,20.50,20.95,9,1953,37713.00,,INE448A01013,24-Feb-20,,
500031,BAJAJ ELECT.,A ,Q,402.40,416.15,401.05,413.80,413.80,410.05,1194,7076,2924769.00,,INE193E01025,24-Feb-20,,
500032,BAJAJHIND   ,B ,Q,5.91,5.95,5.76,5.84,5.84,5.94,402,226773,1333281.00,,INE306A01021,24-Feb-20,,
500033,FORCE MOTR  ,A ,Q,1259.00,1293.50,1232.35,1239.25,1239.25,1270.45,1181,6247,7876603.00,,INE451A01017,24-Feb-20,,
