SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,1223.95,1227.60,1200.65,1207.40,1207.40,1223.35,452,3312,4001435.00,,INE117A01022,18-Feb-20,,
500003,AEGIS LOGIS ,A ,Q,252.00,257.70,246.95,255.95,255.95,252.70,1004,27783,7035847.00,,INE208C01025,18-Feb-20,,
500008,AMAR RAJA BA,A ,Q,765.85,780.00,757.15,776.40,780.00,764.40,1108,18097,13908650.00,,INE885A01032,18-Feb-20,,
500009,A.SARABHAI  ,XT,Q,18.15,18.75,17.60,17.90,18.00,18.50,132,22097,394959.00,,INE432A01017,18-Feb-20,,
500010,HDFC        ,A ,Q,2346.00,2346.00,2304.25,2323.15,2323.15,2349.45,9648,185721,430821693.00,,INE001A01036,18-Feb-20,,
500012,ANDHRA PETRO,X ,Q,27.30,28.70,26.00,27.00,27.00,27.25,181,35503,955798.00,,INE714B01016,18-Feb-20,,
500013,ANSAL INFRAS,B ,Q,5.05,5.24,4.89,5.16,5.16,5.19,26,6717,34267.00,,INE436A01026,18-Feb-20,,
500014,APPLE FINANC,X ,Q,1.30,1.30,1.17,1.17,1.17,1.30,21,5955,7104.00,,INE096A01010,18-Feb-20,,
500016,ARUNAHTEL   ,XT,Q,8.78,8.78,8.78,8.78,8.78,8.37,2,2,17.00,,INE957C01019,18-Feb-20,,
500020,BOM DYEING  ,A ,Q,82.80,82.80,78.80,81.35,81.35,83.20,2347,319949,25759245.00,,INE032A01023,18-Feb-20,,
500023,ASIANHOTNR  ,B ,Q,83.00,83.00,83.00,83.00,83.00,84.05,1,1,83.00,,INE363A01022,18-Feb-20,,
500027,ATUL LTD.   ,A ,Q,4974.90,5017.15,4920.00,4996.95,5007.40,4977.25,310,601,2980578.00,,INE100A01010,18-Feb-20,,
500028,ATV PROJECTS,XT,Q,4.35,4.35,4.35,4.35,4.35,4.35,5,286,1244.00,,INE447A01015,18-Feb-20,,
500029,AUTOLITE(I) ,B ,Q,20.15,21.30,20.10,21.20,21.20,21.95,20,115,2322.00,,INE448A01013,18-Feb-20,,
500031,BAJAJ ELECT.,A ,Q,395.15,419.00,391.55,414.25,418.25,406.25,780,6348,2566939.00,,INE193E01025,18-Feb-20,,
500032,BAJAJHIND   ,B ,Q,6.06,6.06,5.79,5.95,5.91,6.06,448,232688,1380629.00,,INE306A01021,18-Feb-20,,
500033,FORCE MOTR  ,A ,Q,1272.80,1280.00,1231.60,1251.70,1251.70,1273.20,1684,10594,13309491.00,,INE451A01017,18-Feb-20,,
500034,BAJFINANCE  ,A ,Q,4777.05,4777.05,4704.00,4753.05,4772.45,4775.90,2145,20490,97121395.00,,INE296A01024,18-Feb-20,,
500038,BALRAM.CHINI,A ,Q,170.95,170.95,161.35,163.30,163.30,171.75,1157,56478,9291313.00,,INE119A01028,18-Feb-20,,
500039,BANCO PROD. ,B ,Q,95.20,95.95,92.80,93.25,93.10,95.20,111,3304,310412.00,,INE213C01025,18-Feb-20,,
500040,CENTURY TEXT,A ,Q,578.00,586.00,568.00,583.40,583.00,578.20,707,21635,12513544.00,,INE055A01016,18-Feb-20,,
500041,BANNARI AMAN,B ,Q,1500.00,1500.00,1435.65,1459.90,1459.90,1500.00,10,16,23304.00,,INE459A01010,18-Feb-20,,
500042,BASF INDIA  ,A ,Q,865.95,866.90,834.00,845.25,845.25,863.75,856,5560,4716552.00,,INE373A01013,18-Feb-20,,
500043,BATA INDIA  ,A ,Q,1785.00,1817.80,1785.00,1797.45,1797.45,1784.05,1009,47893,85957085.00,,INE176A01028,18-Feb-20,,
500048,BEML LTD    ,A ,Q,915.00,915.00,871.95,876.55,873.50,920.70,1398,66759,58750462.00,,INE258A01016,18-Feb-20,,
500049,BHARAT ELECT,A ,Q,82.60,83.80,79.50,83.05,83.05,80.95,1991,373929,30475715.00,,INE263A01024,18-Feb-20,,
500052,BHANSALI ENG,B ,Q,43.55,43.60,42.10,43.10,43.10,43.10,656,56733,2439391.00,,INE922A01025,18-Feb-20,,
