SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1598.70,1598.70,1514.10,1536.55,1536.55,1564.00,1360,13197,20600156.00,,INE117A01022,25-Feb-21,,
500003,AEGIS LOGIS ,A ,Q,282.80,306.20,282.55,303.50,303.50,281.60,1464,38608,11484903.00,,INE208C01025,25-Feb-21,,
500008,AMAR RAJA BA,A ,Q,888.00,899.00,878.90,890.25,890.25,893.80,5267,101828,90642949.00,,INE885A01032,25-Feb-21,,
500009,A.SARABHAI  ,X ,Q,19.10,19.55,18.80,19.00,18.80,19.25,165,34008,655054.00,,INE432A01017,25-Feb-21,,
500010,HDFC        ,A ,Q,2733.00,2739.00,2677.65,2684.00,2686.20,2706.20,4948,719747,1947975239.00,,INE001A01036,25-Feb-21,,
500012,ANDHRA PETRO,X ,Q,60.30,60.30,60.30,60.30,60.30,57.45,208,89297,5384609.00,,INE714B01016,25-Feb-21,,
500013,ANSAL INFRAS,B ,Q,7.69,7.69,7.64,7.69,7.69,7.33,39,19464,149518.00,,INE436A01026,25-Feb-21,,
500014,UTIQUE      ,X ,Q,1.61,1.61,1.61,1.61,1.61,1.54,24,15315,24657.00,,INE096A01010,25-Feb-21,,
500020,BOM DYEING  ,A ,Q,75.40,77.40,75.35,76.05,76.05,75.35,1753,292140,22245926.00,,INE032A01023,25-Feb-21,,
500023,ASIANHOTNR  ,B ,Q,70.75,73.00,68.00,70.85,70.55,70.00,50,1793,126869.00,,INE363A01022,25-Feb-21,,
500027,ATUL LTD.   ,A ,Q,6570.00,6706.55,6521.30,6606.55,6595.05,6570.20,469,1306,8656133.00,,INE100A01010,25-Feb-21,,
500028,ATV PROJECTS,XT,Q,4.62,4.81,4.38,4.59,4.80,4.59,48,12992,60066.00,,INE447A01015,25-Feb-21,,
500029,AUTOLITE(I) ,Z ,Q,27.00,28.45,26.25,27.70,28.45,27.10,26,2109,57089.00,,INE448A01013,25-Feb-21,,
500031,BAJAJ ELECT.,A ,Q,978.90,1024.80,967.95,993.25,993.25,964.90,2845,45293,45209180.00,,INE193E01025,25-Feb-21,,
500032,BAJAJHIND   ,A ,Q,6.25,6.35,5.95,6.13,6.13,6.23,4443,2076626,12763791.00,,INE306A01021,25-Feb-21,,
500033,FORCE MOTR  ,A ,Q,1340.00,1343.50,1321.10,1325.80,1336.30,1327.65,340,2399,3199038.00,,INE451A01017,25-Feb-21,,
500034,BAJFINANCE  ,A ,Q,5608.00,5618.00,5513.45,5530.15,5530.15,5553.00,6324,144438,803898260.00,,INE296A01024,25-Feb-21,,
500038,BALRAM.CHINI,A ,Q,181.55,182.00,176.80,177.25,177.05,177.70,661,51775,9251234.00,,INE119A01028,25-Feb-21,,
500039,BANCO PROD. ,B ,Q,151.00,154.95,151.00,152.50,152.30,149.95,278,10177,1555939.00,,INE213C01025,25-Feb-21,,
500040,CENTURY TEXT,A ,Q,490.35,497.00,486.55,494.65,493.20,483.25,2514,150269,73752051.00,,INE055A01016,25-Feb-21,,
500041,BANNARI AMAN,A ,Q,1771.15,1784.00,1730.00,1730.05,1730.00,1718.10,52,201,353086.00,,INE459A01010,25-Feb-21,,
