SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,945.00,969.00,940.10,948.05,948.05,947.45,714,3124,2985380.00,,INE117A01022,10-Nov-20,,
500003,AEGIS LOGIS ,A ,Q,204.00,207.05,203.00,205.15,205.10,203.00,535,9001,1843563.00,,INE208C01025,10-Nov-20,,
500008,AMAR RAJA BA,A ,Q,812.15,835.50,812.15,832.95,832.30,814.35,3527,53542,44280522.00,,INE885A01032,10-Nov-20,,
500009,A.SARABHAI  ,X ,Q,18.35,18.90,16.65,17.15,17.15,18.40,192,95935,1713955.00,,INE432A01017,10-Nov-20,,
500010,HDFC        ,A ,Q,2180.10,2288.80,2180.00,2271.85,2271.85,2150.95,26644,439380,975388900.00,,INE001A01036,10-Nov-20,,
500012,ANDHRA PETRO,X ,Q,29.45,30.80,29.35,30.00,30.00,30.85,540,229439,6810036.00,,INE714B01016,10-Nov-20,,
500013,ANSAL INFRAS,B ,Q,4.54,4.54,4.18,4.24,4.24,4.34,17,4998,21349.00,,INE436A01026,10-Nov-20,,
500014,UTIQUE      ,X ,Q,0.90,0.94,0.90,0.94,0.94,1.00,3,400,372.00,,INE096A01010,10-Nov-20,,
500016,ARUNAHTEL   ,XT,Q,5.51,5.51,5.51,5.51,5.51,5.51,3,180,991.00,,INE957C01019,10-Nov-20,,
500020,BOM DYEING  ,A ,Q,64.75,65.35,63.10,63.75,63.75,65.10,800,57297,3677284.00,,INE032A01023,10-Nov-20,,
500023,ASIANHOTNR  ,B ,Q,54.65,56.70,51.70,55.50,55.60,54.05,130,2255,124301.00,,INE363A01022,10-Nov-20,,
500027,ATUL LTD.   ,A ,Q,6270.00,6302.25,6216.40,6243.30,6251.50,6205.50,316,701,4384070.00,,INE100A01010,10-Nov-20,,
500028,ATV PROJECTS,XT,Q,3.44,3.80,3.44,3.78,3.80,3.62,43,28981,109072.00,,INE447A01015,10-Nov-20,,
500029,AUTOLITE(I) ,B ,Q,18.55,19.10,18.45,18.85,19.10,18.45,18,638,11988.00,,INE448A01013,10-Nov-20,,
500031,BAJAJ ELECT.,A ,Q,496.05,500.05,489.35,491.60,492.95,495.80,1652,250299,123759389.00,,INE193E01025,10-Nov-20,,
500032,BAJAJHIND   ,B ,Q,4.67,4.67,4.47,4.49,4.51,4.57,227,243923,1097702.00,,INE306A01021,10-Nov-20,,
500033,FORCE MOTR  ,A ,Q,1076.15,1076.15,1048.00,1061.80,1061.80,1070.10,339,1531,1626081.00,,INE451A01017,10-Nov-20,,
500034,BAJFINANCE  ,A ,Q,3900.00,4243.00,3883.25,4208.60,4208.60,3866.60,49752,505806,2082596768.00,,INE296A01024,10-Nov-20,,
500038,BALRAM.CHINI,A ,Q,149.85,151.35,148.00,148.65,148.95,149.80,1012,29080,4355196.00,,INE119A01028,10-Nov-20,,
500039,BANCO PROD. ,B ,Q,92.80,93.30,91.50,92.05,93.30,92.95,313,8186,753881.00,,INE213C01025,10-Nov-20,,
500040,CENTURY TEXT,A ,Q,314.30,315.85,308.35,310.30,309.85,314.25,1957,35336,10989161.00,,INE055A01016,10-Nov-20,,
500041,BANNARI AMAN,B ,Q,1300.05,1310.00,1300.00,1308.05,1310.00,1308.90,5,5,6524.00,,INE459A01010,10-Nov-20,,
500042,BASF INDIA  ,A ,Q,1502.80,1502.80,1454.95,1467.45,1472.00,1495.30,810,3278,4848871.00,,INE373A01013,10-Nov-20,,
500043,BATA INDIA  ,A ,Q,1368.85,1387.55,1354.80,1364.75,1370.95,1356.35,3713,43547,59748912.00,,INE176A01028,10-Nov-20,,
500048,BEML LTD    ,A ,Q,620.00,630.30,619.20,622.80,623.10,620.90,636,12071,7504575.00,,INE258A01016,10-Nov-20,,
500049,BHARAT ELECT,A ,Q,93.10,96.25,92.20,95.40,95.40,92.90,2644,395731,37593402.00,,INE263A01024,10-Nov-20,,
500052,BHANSALI ENG,B ,Q,89.65,90.85,88.25,89.70,89.70,89.80,1787,151149,13550588.00,,INE922A01025,10-Nov-20,,
500055,TATASTLBSL  ,B ,Q,26.05,27.25,26.05,26.55,26.55,26.50,976,289190,7742400.00,,INE824B01021,10-Nov-20,,
500058,BIHAR SPONGE,XT,Q,1.34,1.34,1.34,1.34,1.34,1.32,13,26895,36039.00,,INE819C01011,10-Nov-20,,
500060,BIRLACABLE  ,B ,Q,49.70,50.90,48.65,48.80,48.80,50.50,342,17488,863975.00,,INE800A01015,10-Nov-20,,
500067,BLUE STAR   ,A ,Q,670.00,670.05,650.25,664.15,664.15,668.45,1221,8253,5448451.00,,INE472A01039,10-Nov-20,,
500068,DISA INDIA  ,X ,Q,3506.00,3599.00,3350.00,3422.50,3422.50,3484.75,120,846,2940174.00,,INE131C01011,10-Nov-20,,
500069,BNK CAPITAL ,X ,Q,73.60,73.65,66.80,66.80,66.80,67.30,4,394,27666.00,,INE418C01012,10-Nov-20,,
500074,BPL LTD.    ,B ,Q,17.55,17.55,17.30,17.35,17.35,17.30,82,6674,116347.00,,INE110A01019,10-Nov-20,,
500078,OAL         ,B ,Q,487.35,487.35,458.05,463.35,460.70,474.75,203,1884,883965.00,,INE959C01023,10-Nov-20,,
500083,CENTURY EXT ,B ,Q,3.31,3.50,3.31,3.35,3.35,3.28,17,3203,10691.00,,INE281A01026,10-Nov-20,,
500084,CESC LTD.   ,A ,Q,603.00,603.00,582.00,584.40,583.00,596.40,1301,11090,6492920.00,,INE486A01013,10-Nov-20,,
500085,CHAMBAL FERT,A ,Q,169.25,171.90,166.15,171.00,171.00,170.60,1125,24258,4123775.00,,INE085A01013,10-Nov-20,,
500086,EXIDE IND.  ,A ,Q,167.00,168.30,161.40,162.30,162.30,166.25,5083,283154,46933376.00,,INE302A01020,10-Nov-20,,
500087,CIPLA LTD.  ,A ,Q,770.00,770.00,706.45,717.70,717.70,762.60,17729,709424,516334282.00,,INE059A01026,10-Nov-20,,
500089,DIC INDIA   ,B ,Q,364.00,364.00,360.25,361.90,362.70,364.80,71,591,213979.00,,INE303A01010,10-Nov-20,,
500092,CRISIL LTD  ,A ,Q,1999.00,1999.00,1902.30,1964.50,1962.05,1973.15,463,2209,4353971.00,,INE007A01025,10-Nov-20,,
500093,CGPOWER     ,B ,Q,32.65,32.65,30.40,31.75,31.60,32.00,1266,609542,19231657.00,,INE067A01029,10-Nov-20,,
500096,DABUR (I)   ,A ,Q,529.50,529.50,512.00,515.10,515.10,527.00,2885,118757,61498865.00,,INE016A01026,10-Nov-20,,
500097,DALMIASUG   ,B ,Q,139.95,139.95,131.90,132.35,132.20,141.50,753,22912,3057814.00,,INE495A01022,10-Nov-20,,
500101,ARVIND Ltd  ,A ,Q,34.50,35.75,33.85,35.35,35.30,33.95,972,219647,7660922.00,,INE034A01011,10-Nov-20,,
500102,BALARPUR IND,B ,Q,1.17,1.25,1.17,1.19,1.19,1.23,323,730853,879676.00,,INE294A01037,10-Nov-20,,
