SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1540.00,1540.00,1504.95,1508.25,1506.40,1514.00,267,1948,2958173.00,,INE117A01022,11-Jul-19,,
500003,AEGIS LOGIS ,A ,Q,214.80,216.50,213.00,213.70,213.60,214.15,312,7190,1540801.00,,INE208C01025,11-Jul-19,,
500008,AMAR RAJA BA,A ,Q,644.50,652.20,643.25,650.25,649.95,647.45,386,12427,8038584.00,XD,INE885A01032,11-Jul-19,,
500009,A.SARABHAI  ,X ,Q,12.63,13.29,12.43,12.62,12.80,12.78,37,13754,172737.00,,INE432A01017,11-Jul-19,,
500010,HDFC        ,A ,Q,2237.50,2269.05,2232.60,2261.45,2259.25,2227.40,2208,36062,81289049.00,,INE001A01036,11-Jul-19,,
500012,ANDHRA PETRO,X ,Q,50.55,50.80,49.50,49.65,49.95,50.60,193,17785,887638.00,,INE714B01016,11-Jul-19,,
500013,ANSAL INFRAS,B ,Q,5.01,5.10,4.95,4.97,5.04,5.04,28,10052,50367.00,,INE436A01026,11-Jul-19,,
500014,APPLE FINANC,XT,Q,1.41,1.41,1.41,1.41,1.41,1.41,3,130,183.00,,INE096A01010,11-Jul-19,,
500020,BOM DYEING  ,A ,Q,102.20,103.25,100.95,101.80,101.20,101.45,1057,85801,8733635.00,,INE032A01023,11-Jul-19,,
500024,ASSAMCO     ,T ,Q,1.31,1.32,1.31,1.31,1.31,1.37,37,48859,64015.00,,INE442A01024,11-Jul-19,,
500027,ATUL LTD.   ,A ,Q,3764.00,3764.00,3704.50,3730.40,3730.40,3792.30,209,491,1832305.00,XD,INE100A01010,11-Jul-19,,
500028,ATV PROJECTS,XT,Q,3.16,3.32,3.16,3.32,3.32,3.32,8,54224,179975.00,,INE447A01015,11-Jul-19,,
