SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,790.00,800.80,785.00,788.05,786.25,784.40,410,4185,3310260.00,,INE117A01022,18-Jun-20,,
500003,AEGIS LOGIS ,A ,Q,176.90,181.60,175.10,180.20,179.05,177.25,1293,9624,1729837.00,,INE208C01025,18-Jun-20,,
500008,AMAR RAJA BA,A ,Q,672.60,683.00,665.55,679.50,678.95,672.60,1139,21208,14312297.00,,INE885A01032,18-Jun-20,,
500009,A.SARABHAI  ,X ,Q,16.40,16.60,15.90,16.15,16.15,16.20,75,20801,339317.00,,INE432A01017,18-Jun-20,,
500010,HDFC        ,A ,Q,1785.25,1867.65,1785.25,1855.15,1855.15,1794.05,10493,164306,300326574.00,,INE001A01036,18-Jun-20,,
500012,ANDHRA PETRO,X ,Q,24.80,25.95,23.40,25.65,25.65,23.60,443,167372,4140055.00,,INE714B01016,18-Jun-20,,
500013,ANSAL INFRAS,T ,Q,4.65,4.65,4.24,4.28,4.47,4.46,138,70909,303125.00,,INE436A01026,18-Jun-20,,
500014,UTIQUE      ,XT,Q,1.10,1.15,1.10,1.15,1.15,1.10,8,11301,12993.00,,INE096A01010,18-Jun-20,,
500016,ARUNAHTEL   ,XT,Q,5.72,5.72,5.72,5.72,5.72,6.01,1,183,1046.00,,INE957C01019,18-Jun-20,,
500020,BOM DYEING  ,A ,Q,63.00,63.95,61.00,63.10,63.10,61.55,1328,148614,9337173.00,,INE032A01023,18-Jun-20,,
500023,ASIANHOTNR  ,B ,Q,53.55,55.00,53.50,54.60,55.00,54.35,57,1417,76899.00,,INE363A01022,18-Jun-20,,
500027,ATUL LTD.   ,A ,Q,4445.80,4448.50,4375.50,4414.90,4407.00,4419.35,168,985,4349050.00,,INE100A01010,18-Jun-20,,
500028,ATV PROJECTS,XT,Q,3.25,3.41,3.15,3.22,3.20,3.25,12,3583,11620.00,,INE447A01015,18-Jun-20,,
500031,BAJAJ ELECT.,A ,Q,409.00,417.15,405.00,405.70,405.60,407.70,428,4218,1735206.00,,INE193E01025,18-Jun-20,,
500032,BAJAJHIND   ,B ,Q,6.70,7.00,6.50,6.64,6.64,6.79,959,839644,5556831.00,,INE306A01021,18-Jun-20,,
500033,FORCE MOTR  ,A ,Q,909.00,940.00,909.00,921.40,921.40,894.65,873,5254,4862010.00,,INE451A01017,18-Jun-20,,
500034,BAJFINANCE  ,A ,Q,2350.00,2540.00,2350.00,2527.55,2527.55,2396.70,61077,738819,1833241694.00,,INE296A01024,18-Jun-20,,
500038,BALRAM.CHINI,A ,Q,125.00,130.80,118.00,129.05,129.05,125.30,2503,170917,21926637.00,,INE119A01028,18-Jun-20,,
500039,BANCO PROD. ,B ,Q,70.25,73.60,69.75,72.20,72.20,69.85,2008,69647,5035761.00,,INE213C01025,18-Jun-20,,
500040,CENTURY TEXT,A ,Q,296.10,306.35,296.10,305.30,305.30,293.40,947,45036,13573155.00,,INE055A01016,18-Jun-20,,
500041,BANNARI AMAN,B ,Q,935.00,956.00,926.00,953.40,950.05,936.30,36,87,81666.00,,INE459A01010,18-Jun-20,,
500042,BASF INDIA  ,A ,Q,1090.00,1124.00,1089.50,1114.55,1114.55,1093.80,405,1115,1230378.00,,INE373A01013,18-Jun-20,,
500043,BATA INDIA  ,A ,Q,1316.00,1322.50,1295.05,1314.25,1316.80,1317.55,5427,82100,107161224.00,,INE176A01028,18-Jun-20,,
500048,BEML LTD    ,A ,Q,604.00,636.50,602.50,626.40,626.40,595.65,5809,125431,78289155.00,,INE258A01016,18-Jun-20,,
500049,BHARAT ELECT,A ,Q,71.65,77.15,71.65,76.85,76.85,71.70,11895,2125600,160278011.00,,INE263A01024,18-Jun-20,,
500052,BHANSALI ENG,B ,Q,42.85,43.60,42.65,43.35,43.40,42.55,408,48836,2109688.00,,INE922A01025,18-Jun-20,,
500055,TATASTLBSL  ,B ,Q,19.00,19.80,18.90,19.70,19.70,19.05,1157,202901,3941810.00,,INE824B01021,18-Jun-20,,
500058,BIHAR SPONGE,XT,Q,0.77,0.77,0.77,0.77,0.77,0.76,13,48949,37690.00,,INE819C01011,18-Jun-20,,
500060,BIRLACABLE  ,B ,Q,47.00,53.45,47.00,53.45,53.45,44.55,1547,96145,4868250.00,,INE800A01015,18-Jun-20,,
500067,BLUE STAR   ,A ,Q,500.15,505.45,497.20,501.80,501.30,497.20,128,555,278403.00,,INE472A01039,18-Jun-20,,
500068,DISA INDIA  ,X ,Q,3490.00,3500.00,3440.00,3483.20,3480.00,3489.00,21,42,146470.00,,INE131C01011,18-Jun-20,,
500069,BNK CAPITAL ,X ,Q,54.00,54.00,54.00,54.00,54.00,54.20,2,125,6750.00,,INE418C01012,18-Jun-20,,
500074,BPL LTD.    ,B ,Q,16.90,17.75,16.70,17.11,17.11,16.52,291,42294,725285.00,,INE110A01019,18-Jun-20,,
500078,OAL         ,B ,Q,173.00,175.95,173.00,174.70,174.70,173.40,52,562,98251.00,,INE959C01023,18-Jun-20,,
500083,CENTURY EXT ,B ,Q,4.89,4.99,4.85,4.99,4.99,4.54,491,491224,2434577.00,,INE281A01026,18-Jun-20,,
500084,CESC LTD.   ,A ,Q,608.35,613.55,598.45,602.25,602.25,603.35,556,5142,3119251.00,,INE486A01013,18-Jun-20,,
500085,CHAMBAL FERT,A ,Q,141.05,148.80,141.05,145.85,145.85,142.85,4193,173093,25208283.00,,INE085A01013,18-Jun-20,,
