SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,T ,Q,1287.90,1297.00,1280.00,1287.00,1284.00,1284.10,57,493,634121.00,,INE117A01022,01-Jan-20,,
500003,AEGIS LOGIS ,A ,Q,193.55,198.90,193.50,196.05,196.05,193.50,339,21825,4282753.00,,INE208C01025,01-Jan-20,,
500008,AMAR RAJA BA,A ,Q,730.00,731.00,718.40,720.00,721.00,724.50,1172,44419,32222383.00,,INE885A01032,01-Jan-20,,
500009,A.SARABHAI  ,XT,Q,16.30,16.30,15.50,15.85,15.80,15.69,69,21788,345522.00,,INE432A01017,01-Jan-20,,
500010,HDFC        ,A ,Q,2417.00,2438.00,2409.95,2433.75,2433.75,2413.45,1411,24458,59387090.00,,INE001A01036,01-Jan-20,,
500012,ANDHRA PETRO,X ,Q,37.70,37.70,34.05,35.50,35.50,36.30,323,55916,2005650.00,,INE714B01016,01-Jan-20,,
500013,ANSAL INFRAS,B ,Q,5.10,5.10,4.90,5.05,5.05,5.05,10,11012,55092.00,,INE436A01026,01-Jan-20,,
500014,APPLE FINANC,X ,Q,1.34,1.34,1.28,1.28,1.28,1.34,11,3440,4529.00,,INE096A01010,01-Jan-20,,
500020,BOM DYEING  ,A ,Q,79.30,79.30,76.75,77.70,77.40,79.25,1336,156280,12157857.00,,INE032A01023,01-Jan-20,,
500027,ATUL LTD.   ,A ,Q,4075.00,4080.30,4055.00,4066.55,4055.00,4053.30,63,89,362328.00,,INE100A01010,01-Jan-20,,
500028,ATV PROJECTS,XT,Q,3.41,3.55,3.41,3.55,3.55,3.55,7,1058,3638.00,,INE447A01015,01-Jan-20,,
500029,AUTOLITE(I) ,B ,Q,21.00,22.70,21.00,21.50,21.65,21.60,9,1134,24868.00,,INE448A01013,01-Jan-20,,
500031,BAJAJ ELECT.,A ,Q,358.30,366.30,357.35,360.05,357.45,357.85,1185,9374,3391237.00,,INE193E01025,01-Jan-20,,
500032,BAJAJHIND   ,B ,Q,6.65,7.38,6.61,7.17,7.17,6.59,1453,794543,5633743.00,,INE306A01021,01-Jan-20,,
500033,FORCE MOTR  ,A ,Q,1089.10,1109.45,1085.10,1091.65,1091.65,1084.90,1068,5889,6466443.00,,INE451A01017,01-Jan-20,,
500034,BAJFINANCE  ,A ,Q,4235.00,4250.05,4222.00,4230.45,4237.85,4235.10,1020,8416,35637943.00,,INE296A01024,01-Jan-20,,
500038,BALRAM.CHINI,A ,Q,184.30,188.10,181.85,187.10,187.10,183.35,1573,99112,18424678.00,,INE119A01028,01-Jan-20,,
500039,BANCO PROD. ,B ,Q,105.20,109.90,105.00,107.05,107.30,107.35,810,10591,1139756.00,,INE213C01025,01-Jan-20,,
500040,CENTURY TEXT,A ,Q,479.75,481.00,470.20,476.60,477.65,477.15,852,89694,42888614.00,,INE055A01016,01-Jan-20,,
500041,BANNARI AMAN,B ,Q,1200.00,1260.00,1200.00,1234.45,1231.70,1176.85,58,90,110759.00,,INE459A01010,01-Jan-20,,
500042,BASF INDIA  ,A ,Q,990.10,1014.00,990.10,1009.25,1009.25,987.65,530,4555,4585000.00,,INE373A01013,01-Jan-20,,
500043,BATA INDIA  ,A ,Q,1760.00,1763.25,1742.65,1745.60,1745.45,1750.70,488,9335,16374040.00,,INE176A01028,01-Jan-20,,
500048,BEML LTD    ,A ,Q,987.60,995.85,976.00,991.45,988.45,983.60,510,11330,11173455.00,,INE258A01016,01-Jan-20,,
500049,BHARAT ELECT,A ,Q,100.50,100.95,99.40,100.10,100.05,100.10,1572,422256,42268174.00,,INE263A01024,01-Jan-20,,
500052,BHANSALI ENG,B ,Q,51.90,53.30,50.50,51.35,51.35,51.90,2510,215085,11185362.00,,INE922A01025,01-Jan-20,,
500055,TATASTLBSL  ,B ,Q,29.85,30.10,29.45,29.65,29.65,29.80,306,100056,2971192.00,,INE824B01021,01-Jan-20,,
500058,BIHAR SPONGE,XT,Q,0.51,0.55,0.51,0.55,0.55,0.53,21,8224,4238.00,,INE819C01011,01-Jan-20,,
500060,BIRLACABLE  ,B ,Q,61.25,61.75,60.10,60.10,60.10,61.05,76,4636,281917.00,,INE800A01015,01-Jan-20,,
