SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1457.05,1480.00,1441.55,1454.35,1454.35,1449.60,1577,18988,27823325.00,,INE117A01022,19-May-21,,
500003,AEGIS LOGIS ,A ,Q,345.00,352.25,332.00,332.85,333.00,347.40,2744,56481,19299251.00,,INE208C01025,19-May-21,,
500008,AMAR RAJA BA,A ,Q,784.80,801.70,784.00,796.30,796.30,784.80,4689,107888,85800403.00,,INE885A01032,19-May-21,,
500009,A.SARABHAI  ,X ,Q,48.80,48.80,44.15,45.65,45.65,48.40,20281,4824030,221121907.00,,INE432A01017,19-May-21,,
500010,HDFC        ,A ,Q,2510.00,2517.90,2453.45,2459.35,2460.00,2501.95,4374,57299,142279897.00,,INE001A01036,19-May-21,,
500012,ANDHRA PETRO,X ,Q,76.90,76.90,74.30,75.15,75.40,76.10,878,176261,13294177.00,,INE714B01016,19-May-21,,
500013,ANSAL INFRAS,B ,Q,6.20,6.40,6.05,6.40,6.40,6.10,85,79313,498665.00,,INE436A01026,19-May-21,,
500014,UTIQUE      ,X ,Q,2.65,2.65,2.52,2.53,2.60,2.65,39,8847,22489.00,,INE096A01010,19-May-21,,
500016,ARUNAHTEL   ,XT,Q,8.64,8.64,8.64,8.64,8.64,8.23,4,501,4328.00,,INE957C01019,19-May-21,,
500020,BOM DYEING  ,A ,Q,75.00,78.10,75.00,77.05,77.05,74.85,2250,382841,29275165.00,,INE032A01023,19-May-21,,
500023,ASIANHOTNR  ,B ,Q,66.40,71.35,65.85,66.80,66.80,68.15,145,2852,195422.00,,INE363A01022,19-May-21,,
500027,ATUL LTD.   ,A ,Q,8460.00,8574.75,8404.00,8522.45,8522.45,8459.65,738,12253,103804472.00,,INE100A01010,19-May-21,,
500028,ATV PROJECTS,XT,Q,5.54,5.78,5.50,5.68,5.72,5.54,84,23855,135108.00,,INE447A01015,19-May-21,,
500031,BAJAJ ELECT.,A ,Q,1150.00,1175.00,1133.95,1140.80,1140.80,1144.90,903,9276,10692984.00,,INE193E01025,19-May-21,,
500032,BAJAJHIND   ,A ,Q,12.35,12.76,11.94,12.05,12.05,12.30,2767,2189902,26953199.00,,INE306A01021,19-May-21,,
500033,FORCE MOTR  ,A ,Q,1210.00,1286.85,1203.00,1261.75,1261.75,1202.50,1309,11287,14204774.00,,INE451A01017,19-May-21,,
500034,BAJFINANCE  ,A ,Q,5693.00,5722.50,5594.45,5630.60,5630.60,5687.20,7286,76384,431690970.00,,INE296A01024,19-May-21,,
500038,BALRAM.CHINI,A ,Q,308.25,329.55,308.25,323.15,323.15,312.35,5769,271089,87504755.00,,INE119A01028,19-May-21,,
500039,BANCO PROD. ,B ,Q,151.45,152.80,149.00,149.55,149.90,150.85,225,8373,1263497.00,,INE213C01025,19-May-21,,
500040,CENTURY TEXT,A ,Q,490.00,500.40,489.95,492.90,492.90,490.00,2336,117875,58391230.00,,INE055A01016,19-May-21,,
500041,BANNARI AMAN,A ,Q,1860.00,1870.00,1828.30,1831.30,1831.70,1845.70,221,659,1219928.00,,INE459A01010,19-May-21,,
500042,BASF INDIA  ,A ,Q,2500.00,2500.00,2413.95,2451.85,2451.85,2497.90,702,4933,12153901.00,,INE373A01013,19-May-21,,
500043,BATA INDIA  ,A ,Q,1452.00,1492.00,1450.00,1474.45,1474.45,1451.05,8626,143562,212284544.00,,INE176A01028,19-May-21,,
500048,BEML LTD    ,A ,Q,1315.50,1323.80,1291.10,1306.95,1306.95,1307.20,1051,44931,58792724.00,,INE258A01016,19-May-21,,
