SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1849.00,1857.00,1816.00,1830.20,1828.00,1842.65,1560,11886,21810833.00,,INE117A01022,20-Oct-21,,
500003,AEGIS LOGIS ,A ,Q,219.80,219.80,211.80,212.35,212.35,220.25,3285,108831,23300174.00,,INE208C01025,20-Oct-21,,
500008,AMAR RAJA BA,A ,Q,705.10,709.00,693.50,704.70,704.70,709.45,12488,175213,123142825.00,,INE885A01032,20-Oct-21,,
500009,A.SARABHAI  ,X ,Q,31.50,31.50,30.40,30.60,30.90,31.40,852,130784,4021938.00,,INE432A01017,20-Oct-21,,
500010,HDFC        ,A ,Q,2839.00,2839.00,2774.05,2795.45,2801.95,2821.75,2315,1613796,4555080479.00,,INE001A01036,20-Oct-21,,
500012,ANDHRA PETRO,XT,Q,140.00,144.80,137.20,139.35,139.35,142.75,1179,128690,17894220.00,,INE714B01016,20-Oct-21,,
500013,ANSAL INFRAS,B ,Q,10.09,11.77,9.86,11.16,11.16,10.15,550,154974,1734900.00,,INE436A01026,20-Oct-21,,
500014,UTIQUE      ,X ,Q,3.40,3.40,3.06,3.26,3.10,3.35,216,245789,808701.00,,INE096A01010,20-Oct-21,,
500016,ARUNAHTEL   ,XT,Q,15.85,16.25,14.75,16.25,16.25,15.50,69,16181,260922.00,,INE957C01019,20-Oct-21,,
500020,BOM DYEING  ,A ,Q,98.95,100.65,95.65,99.25,99.25,97.95,6077,1263595,123595738.00,,INE032A01023,20-Oct-21,,
500023,ASIANHOTNR  ,B ,Q,86.95,88.45,84.30,85.30,85.70,87.10,113,7291,624026.00,,INE363A01022,20-Oct-21,,
500027,ATUL LTD.   ,A ,Q,10216.70,10259.25,9567.50,9689.30,9689.30,10216.70,1416,2502,24849401.00,,INE100A01010,20-Oct-21,,
500028,ATV PROJECTS,XT,Q,10.66,11.00,10.64,10.64,10.90,11.19,60,16879,180292.00,,INE447A01015,20-Oct-21,,
