SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1459.00,1479.95,1451.70,1458.55,1457.75,1457.65,539,3585,5243651.00,,INE117A01022,01-Nov-19,,
500003,AEGIS LOGIS ,A ,Q,173.00,175.00,171.30,171.85,171.85,171.85,112,2312,399869.00,,INE208C01025,01-Nov-19,,
500008,AMAR RAJA BA,A ,Q,688.00,695.35,679.25,689.65,689.65,682.75,538,13202,9088161.00,,INE885A01032,01-Nov-19,,
500009,A.SARABHAI  ,X ,Q,10.70,10.85,10.40,10.67,10.70,10.70,43,23629,250120.00,,INE432A01017,01-Nov-19,,
500010,HDFC        ,A ,Q,2131.00,2166.95,2120.10,2128.55,2128.55,2134.10,4282,489932,1050375760.00,,INE001A01036,01-Nov-19,,
500012,ANDHRA PETRO,X ,Q,40.60,41.20,39.80,39.90,39.85,40.55,202,43416,1743583.00,,INE714B01016,01-Nov-19,,
500013,ANSAL INFRAS,B ,Q,4.34,4.55,4.30,4.53,4.53,4.34,13,663,2972.00,,INE436A01026,01-Nov-19,,
500014,APPLE FINANC,X ,Q,1.10,1.15,1.05,1.15,1.15,1.10,23,30559,35005.00,,INE096A01010,01-Nov-19,,
500020,BOM DYEING  ,A ,Q,82.00,87.50,80.50,85.60,85.60,81.35,6476,840883,71274621.00,,INE032A01023,01-Nov-19,,
500027,ATUL LTD.   ,A ,Q,4305.00,4350.00,4279.30,4337.45,4337.45,4291.50,216,4619,19976509.00,,INE100A01010,01-Nov-19,,
500028,ATV PROJECTS,XT,Q,4.24,4.45,4.17,4.45,4.45,4.24,19,7006,29521.00,,INE447A01015,01-Nov-19,,
500029,AUTOLITE(I) ,B ,Q,22.50,22.50,20.55,22.00,22.00,22.20,29,3899,84134.00,,INE448A01013,01-Nov-19,,
500031,BAJAJ ELECT.,A ,Q,397.00,397.00,375.00,376.45,376.00,378.65,283,3481,1313403.00,,INE193E01025,01-Nov-19,,
500032,BAJAJHIND   ,B ,Q,6.44,6.94,6.44,6.80,6.82,6.25,616,369356,2505904.00,,INE306A01021,01-Nov-19,,
500033,FORCE MOTR  ,A ,Q,1088.05,1126.95,1088.05,1111.10,1111.10,1099.30,1239,10862,12115829.00,,INE451A01017,01-Nov-19,,
500034,BAJFINANCE  ,A ,Q,4032.90,4111.50,4022.00,4069.75,4069.75,4024.90,5511,63893,260338564.00,,INE296A01024,01-Nov-19,,
500038,BALRAM.CHINI,A ,Q,164.40,170.35,163.00,164.45,164.45,162.90,2715,144790,24161665.00,,INE119A01028,01-Nov-19,,
500039,BANCO PROD. ,B ,Q,118.10,120.15,114.00,115.50,116.30,116.40,580,10704,1253093.00,,INE213C01025,01-Nov-19,,
500040,CENTURY TEXT,A ,Q,423.85,426.20,405.55,410.50,410.50,421.25,1186,55826,23110718.00,,INE055A01016,01-Nov-19,,
500041,BANNARI AMAN,B ,Q,1234.00,1234.00,1190.00,1204.95,1207.50,1141.75,50,128,153468.00,,INE459A01010,01-Nov-19,,
500042,BASF INDIA  ,A ,Q,1016.00,1018.00,990.05,999.40,998.65,1005.35,143,873,875750.00,,INE373A01013,01-Nov-19,,
500043,BATA INDIA  ,A ,Q,1809.00,1809.00,1733.15,1741.60,1741.60,1806.75,2405,46413,81644900.00,,INE176A01028,01-Nov-19,,
500048,BEML LTD    ,A ,Q,1033.70,1060.70,1027.70,1047.00,1037.00,1035.20,1479,36019,37571886.00,,INE258A01016,01-Nov-19,,
500049,BHARAT ELECT,A ,Q,119.00,121.70,118.00,120.35,120.35,118.15,2001,3720773,443229536.00,,INE263A01024,01-Nov-19,,
500052,BHANSALI ENG,B ,Q,55.60,56.50,52.70,53.00,52.70,54.65,1214,143336,7835440.00,,INE922A01025,01-Nov-19,,
500055,TATASTLBSL  ,B ,Q,23.90,25.20,23.90,25.00,25.10,23.85,386,151097,3700685.00,,INE824B01021,01-Nov-19,,
500058,BIHAR SPONGE,XT,Q,0.53,0.57,0.53,0.53,0.53,0.55,8,4371,2332.00,,INE819C01011,01-Nov-19,,
500059,BINANI IND. ,Z ,Q,6.50,6.67,6.05,6.67,6.67,6.36,46,18185,114323.00,,INE071A01013,01-Nov-19,,
500060,BIRLACABLE  ,B ,Q,56.65,63.90,56.65,60.25,60.25,56.55,942,88421,5401600.00,,INE800A01015,01-Nov-19,,
500067,BLUE STAR   ,A ,Q,842.40,844.00,818.60,822.45,822.45,841.05,177,945,782299.00,,INE472A01039,01-Nov-19,,
500068,DISA INDIA  ,X ,Q,5311.05,5454.00,5311.05,5390.60,5454.00,5302.60,18,102,549753.00,,INE131C01011,01-Nov-19,,
500069,BNK CAPITAL ,X ,Q,74.25,74.40,74.25,74.40,74.40,71.00,2,49,3644.00,,INE418C01012,01-Nov-19,,
500074,BPL LTD.    ,B ,Q,20.80,20.80,19.00,19.30,19.30,19.35,89,10721,208527.00,,INE110A01019,01-Nov-19,,
500078,OAL         ,B ,Q,201.00,205.45,200.10,204.50,200.10,203.25,5,172,34997.00,,INE959C01023,01-Nov-19,,
500083,CENTURY EXT ,B ,Q,2.50,2.86,2.36,2.81,2.75,2.70,15,7852,21026.00,,INE281A01026,01-Nov-19,,
500084,CESC LTD.   ,A ,Q,799.00,810.55,797.70,800.40,799.00,797.60,148,5627,4526112.00,,INE486A01013,01-Nov-19,,
500085,CHAMBAL FERT,A ,Q,169.50,174.15,168.50,170.20,170.20,170.30,503,13776,2358563.00,,INE085A01013,01-Nov-19,,
500086,EXIDE IND.  ,A ,Q,193.90,196.10,189.90,195.55,194.90,193.05,1646,112960,21913144.00,,INE302A01020,01-Nov-19,,
500087,CIPLA LTD.  ,A ,Q,466.00,474.00,463.85,469.05,469.05,467.15,1743,61006,28637870.00,,INE059A01026,01-Nov-19,,
500089,DIC INDIA   ,B ,Q,340.00,340.00,328.95,328.95,328.95,340.00,5,210,69190.00,,INE303A01010,01-Nov-19,,
500092,CRISIL LTD  ,A ,Q,1465.00,1517.20,1465.00,1504.65,1500.00,1459.05,217,971,1446412.00,,INE007A01025,01-Nov-19,,
500093,CGPOWER     ,A ,Q,14.52,14.60,13.79,13.96,13.97,14.51,254,113658,1604381.00,,INE067A01029,01-Nov-19,,
500096,DABUR (I)   ,A ,Q,462.50,471.70,461.60,463.80,464.50,462.50,1607,50095,23358803.00,,INE016A01026,01-Nov-19,,
500097,DALMIASUG   ,B ,Q,96.85,98.85,95.00,95.20,95.20,94.90,270,21946,2135259.00,,INE495A01022,01-Nov-19,,
500101,ARVIND Ltd  ,A ,Q,51.00,54.00,50.15,53.55,53.55,50.20,1344,267546,14112705.00,,INE034A01011,01-Nov-19,,
500102,BALARPUR IND,B ,Q,0.46,0.50,0.46,0.49,0.49,0.48,85,122298,59815.00,,INE294A01037,01-Nov-19,,
500103,BHEL        ,A ,Q,57.00,57.60,56.20,56.90,56.90,56.55,4936,1439405,82063408.00,,INE257A01026,01-Nov-19,,
500104,HIND.PETRO  ,A ,Q,322.00,327.25,314.10,320.95,320.65,325.15,4703,421516,135552769.00,,INE094A01015,01-Nov-19,,
500106,IFCI LTD    ,A ,Q,7.32,8.72,7.32,8.72,8.72,7.27,1378,1135727,9363673.00,,INE039A01010,01-Nov-19,,
500108,MAHA.TELE   ,T ,Q,8.26,8.26,8.01,8.26,8.26,7.87,649,1121215,9259217.00,,INE153A01019,01-Nov-19,,
500109,MRPL        ,A ,Q,55.40,56.60,53.20,53.55,53.55,54.70,999,98214,5407127.00,,INE103A01014,01-Nov-19,,
500110,CHENNAI PET.,A ,Q,157.35,158.10,155.85,156.35,155.85,158.25,168,6287,985082.00,,INE178A01016,01-Nov-19,,
500111,REL.CAP.    ,A ,Q,20.25,20.25,19.55,20.25,20.25,19.30,599,437460,8792025.00,,INE013A01015,01-Nov-19,,
500112,STATE BANK  ,A ,Q,312.80,315.10,308.70,313.50,313.50,312.25,15412,2137459,668274692.00,,INE062A01020,01-Nov-19,,
500113,STEEL AUTH. ,A ,Q,36.70,39.35,36.55,39.00,39.00,36.65,8432,3830839,145994904.00,,INE114A01011,01-Nov-19,,
500114,TITAN       ,A ,Q,1335.00,1335.00,1287.00,1301.45,1301.45,1332.35,5796,366554,475503361.00,,INE280A01028,01-Nov-19,,
500116,IDBI BANK L ,A ,Q,33.20,34.60,33.15,33.95,33.95,33.20,635,186559,6367568.00,,INE008A01015,01-Nov-19,,
500117,DCW LTD.    ,B ,Q,15.45,15.85,15.10,15.50,15.50,15.30,87,17245,265287.00,,INE500A01029,01-Nov-19,,
500119,DHAMPUR SUGA,B ,Q,217.25,223.85,215.75,218.00,218.00,214.10,1715,57881,12740244.00,,INE041A01016,01-Nov-19,,
500120,DIAMINES&CHM,X ,Q,132.00,134.90,131.55,132.90,133.00,134.45,96,5134,685488.00,,INE591D01014,01-Nov-19,,
500123,ELANTAS     ,B ,Q,2600.00,2600.00,2500.00,2503.50,2519.95,2552.85,117,1641,4128002.00,,INE280B01018,01-Nov-19,,
500124,DR.REDDY'S  ,A ,Q,2783.00,2829.00,2736.15,2754.55,2754.55,2782.85,6053,75360,209770882.00,,INE089A01023,01-Nov-19,,
500125,E.I.D.PAR   ,A ,Q,174.85,175.90,168.55,169.85,169.85,171.15,576,39085,6662624.00,,INE126A01031,01-Nov-19,,
500126,PGHL        ,A ,Q,4693.35,4706.10,4603.60,4628.55,4628.55,4669.75,255,975,4530923.00,,INE199A01012,01-Nov-19,,
500128,ELEC.CASTING,B ,Q,13.50,13.50,13.35,13.50,13.50,13.45,39,19205,258865.00,,INE086A01029,01-Nov-19,,
500133,ESAB INDIA  ,B ,Q,1358.15,1368.70,1323.05,1331.30,1331.30,1367.45,57,229,306929.00,,INE284A01012,01-Nov-19,,
500135,ESSEL PROP  ,A ,Q,111.95,113.30,110.55,111.80,111.80,112.65,173,4584,514606.00,,INE255A01020,01-Nov-19,,
500136,ESTER INDUS.,T ,Q,31.50,32.35,31.30,32.10,32.00,31.10,26,3696,117719.00,,INE778B01029,01-Nov-19,,
500141,FERRO ALLOYS,X ,Q,2.70,2.79,2.50,2.70,2.70,2.55,93,84789,228802.00,,INE912A01026,01-Nov-19,,
500144,FINOL. CABLE,A ,Q,387.60,387.60,379.05,380.05,380.00,383.35,334,2075,791257.00,,INE235A01022,01-Nov-19,,
500147,CMI FPE     ,X ,Q,900.00,903.00,880.00,899.75,890.05,893.75,37,520,464699.00,,INE515A01019,01-Nov-19,,
500148,UFLEX LTD   ,A ,Q,211.00,211.00,206.00,207.35,207.40,208.55,127,1863,386966.00,,INE516A01017,01-Nov-19,,
500150,FOSECO INDIA,B ,Q,1360.00,1389.00,1345.95,1373.40,1383.00,1394.10,138,395,540127.00,,INE519A01011,01-Nov-19,,
500151,GOLDEN TOB  ,B ,Q,27.90,29.15,27.80,28.35,28.35,26.50,12,719,20340.00,,INE973A01010,01-Nov-19,,
500153,GANESH BENZO,X ,Q,49.00,49.70,48.00,49.60,49.70,47.35,252,51658,2536273.00,,INE388A01029,01-Nov-19,,
500155,GARDEN SILK ,B ,Q,11.41,11.41,10.92,11.18,11.18,11.35,39,3332,37128.00,,INE526A01016,01-Nov-19,,
500159,METROGLOBL  ,X ,Q,57.00,57.50,49.00,55.00,55.00,48.00,74,3462,185824.00,,INE085D01033,01-Nov-19,,
500160,GTL LTD.    ,B ,Q,1.44,1.44,1.38,1.40,1.41,1.38,28,14192,20217.00,,INE043A01012,01-Nov-19,,
500163,GODFREY PH  ,A ,Q,1096.00,1132.80,1093.75,1116.65,1116.00,1089.40,711,6635,7412071.00,,INE260B01028,01-Nov-19,,
500164,GODREJ IND  ,A ,Q,419.90,427.20,417.85,423.30,424.00,416.25,337,5158,2179204.00,,INE233A01035,01-Nov-19,,
500165,KANSAI NERO ,A ,Q,554.65,573.00,535.00,537.70,537.70,554.65,2896,58408,32540617.00,,INE531A01024,01-Nov-19,,
500166,GOODRICKE   ,X ,Q,171.95,174.15,170.10,173.70,173.70,168.80,94,6645,1139599.00,,INE300A01016,01-Nov-19,,
500168,GOODYEAR (I),B ,Q,1032.40,1060.00,1029.95,1045.55,1045.55,1017.60,374,13070,13681779.00,,INE533A01012,01-Nov-19,,
500170,GTN INDUS   ,B ,Q,5.33,5.33,5.33,5.33,5.33,5.85,1,10,53.00,,INE537A01013,01-Nov-19,,
500171,GHCL LTD    ,A ,Q,217.80,218.50,213.90,214.85,215.20,216.25,424,8545,1847349.00,,INE539A01019,01-Nov-19,,
500173,GFLLIMITED  ,B ,Q,83.70,85.00,82.70,84.70,85.00,84.35,54,5866,494191.00,,INE538A01037,01-Nov-19,,
500174,GUJ.LEASE   ,T ,Q,1.15,1.27,1.15,1.27,1.27,1.21,4,2375,2755.00,,INE540A01017,01-Nov-19,,
500179,HCL INFOSYS ,B ,Q,7.09,7.85,7.00,7.68,7.68,7.09,343,180564,1362951.00,,INE236A01020,01-Nov-19,,
