SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,901.00,920.00,897.20,898.80,898.00,901.15,756,10249,9213029.00,,INE117A01022,21-Sep-20,,
500003,AEGIS LOGIS ,A ,Q,240.00,245.00,230.70,234.25,232.00,234.65,632,11111,2652132.00,,INE208C01025,21-Sep-20,,
500008,AMAR RAJA BA,A ,Q,758.30,758.30,718.65,724.90,724.90,764.05,2065,44679,33248968.00,,INE885A01032,21-Sep-20,,
500009,A.SARABHAI  ,X ,Q,20.20,20.20,18.80,18.90,18.90,19.75,203,47742,928409.00,,INE432A01017,21-Sep-20,,
500010,HDFC        ,A ,Q,1715.10,1747.15,1702.35,1708.95,1709.25,1722.80,4964,56645,97666917.00,,INE001A01036,21-Sep-20,,
500012,ANDHRA PETRO,XT,Q,33.50,34.00,31.00,31.85,32.50,32.50,355,108203,3514313.00,,INE714B01016,21-Sep-20,,
500013,ANSAL INFRAS,B ,Q,4.01,4.01,3.90,3.96,3.96,4.05,43,21268,84696.00,,INE436A01026,21-Sep-20,,
500014,UTIQUE      ,X ,Q,1.05,1.10,1.00,1.10,1.10,1.05,12,3761,3892.00,,INE096A01010,21-Sep-20,,
500016,ARUNAHTEL   ,XT,Q,7.12,7.12,7.12,7.12,7.12,6.79,1,5,35.00,,INE957C01019,21-Sep-20,,
500020,BOM DYEING  ,A ,Q,68.00,68.00,63.70,64.65,64.65,68.05,1822,152781,10078967.00,,INE032A01023,21-Sep-20,,
500023,ASIANHOTNR  ,B ,Q,56.10,57.80,55.25,56.45,56.45,57.05,117,938,52660.00,,INE363A01022,21-Sep-20,,
500027,ATUL LTD.   ,A ,Q,6794.65,6804.10,6236.25,6250.95,6261.55,6612.30,905,2438,15842255.00,,INE100A01010,21-Sep-20,,
500028,ATV PROJECTS,XT,Q,3.95,4.10,3.76,3.78,3.78,3.95,40,13571,52161.00,,INE447A01015,21-Sep-20,,
500029,AUTOLITE(I) ,B ,Q,20.00,20.20,19.15,19.35,19.15,19.75,68,3903,76170.00,,INE448A01013,21-Sep-20,,
500031,BAJAJ ELECT.,A ,Q,493.00,503.55,467.50,473.30,472.00,492.80,587,7382,3572327.00,,INE193E01025,21-Sep-20,,
500032,BAJAJHIND   ,B ,Q,5.47,5.47,5.14,5.20,5.20,5.38,1036,413702,2166329.00,,INE306A01021,21-Sep-20,,
500033,FORCE MOTR  ,A ,Q,1164.60,1174.95,1100.00,1109.15,1109.15,1164.60,1084,7596,8583838.00,,INE451A01017,21-Sep-20,,
