SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,2125.00,2125.00,2065.00,2075.80,2075.80,2121.20,1131,9804,20448632.00,,INE117A01022,14-Mar-22,,
500003,AEGIS LOGIS ,A ,Q,196.65,196.65,191.55,192.60,192.60,194.70,866,102060,19741818.00,,INE208C01025,14-Mar-22,,
500008,AMAR RAJA BA,A ,Q,576.00,581.15,570.50,575.25,573.65,575.35,2693,77854,44751679.00,,INE885A01032,14-Mar-22,,
500009,A.SARABHAI  ,X ,Q,32.05,33.30,31.75,32.40,32.30,32.05,612,187896,6128495.00,,INE432A01017,14-Mar-22,,
500010,HDFC        ,A ,Q,2238.00,2285.00,2218.00,2276.60,2276.60,2232.05,9599,89026,200686626.00,,INE001A01036,14-Mar-22,,
500012,ANDHRA PETRO,B ,Q,104.45,106.45,103.00,103.90,103.90,103.85,1044,124320,12978895.00,,INE714B01016,14-Mar-22,,
500013,ANSAL INFRAS,B ,Q,14.50,14.60,14.00,14.10,14.10,14.55,130,26121,371785.00,,INE436A01026,14-Mar-22,,
500014,UTIQUE      ,XT,Q,7.02,7.37,6.70,7.36,7.37,7.02,593,112020,804425.00,,INE096A01010,14-Mar-22,,
500016,ARUNAHTEL   ,X ,Q,10.37,10.37,10.00,10.21,10.20,10.23,33,25461,260946.00,,INE957C01019,14-Mar-22,,
500020,BOM DYEING  ,A ,Q,102.00,102.50,100.10,101.70,101.70,101.70,1742,145858,14759099.00,,INE032A01023,14-Mar-22,,
500023,ASIANHOTNR  ,B ,Q,77.95,79.50,76.75,78.30,77.10,76.60,72,6363,495649.00,,INE363A01022,14-Mar-22,,
500027,ATUL LTD.   ,A ,Q,9524.30,9625.00,9239.55,9514.35,9514.35,9530.80,874,1515,14236719.00,,INE100A01010,14-Mar-22,,
500028,ATV PROJECTS,XT,Q,11.65,12.10,11.02,11.04,11.02,11.60,106,37909,425623.00,,INE447A01015,14-Mar-22,,
500031,BAJAJ ELECT.,A ,Q,1026.20,1026.25,999.00,1002.45,1003.00,1025.60,620,4974,5018247.00,,INE193E01025,14-Mar-22,,
500032,BAJAJHIND   ,A ,Q,16.30,16.95,15.75,16.48,16.48,16.33,5806,3815425,62782664.00,,INE306A01021,14-Mar-22,,
500033,FORCE MOTR  ,A ,Q,1044.45,1045.50,1027.00,1029.40,1027.00,1043.55,321,2820,2923709.00,,INE451A01017,14-Mar-22,,
500034,BAJFINANCE  ,A ,Q,6615.00,6689.90,6496.65,6665.00,6665.00,6627.20,6715,56378,371109374.00,,INE296A01024,14-Mar-22,,
500038,BALRAM.CHINI,A ,Q,490.00,514.70,477.55,502.45,502.45,487.25,10476,592529,298275522.00,,INE119A01028,14-Mar-22,,
500039,BANCO PROD. ,B ,Q,140.00,140.35,139.00,139.80,139.95,139.90,322,5977,835808.00,,INE213C01025,14-Mar-22,,
500040,CENTURY TEXT,A ,Q,787.00,787.00,754.00,763.65,759.00,770.70,1736,34114,26389615.00,,INE055A01016,14-Mar-22,,
500041,BANNARI AMAN,A ,Q,2444.80,2516.15,2380.65,2468.35,2462.85,2412.60,155,372,920199.00,,INE459A01010,14-Mar-22,,
500042,BASF INDIA  ,A ,Q,2938.95,3020.00,2900.00,2984.00,2984.00,2894.70,724,3726,11107614.00,,INE373A01013,14-Mar-22,,
500043,BATA INDIA  ,A ,Q,1814.95,1851.50,1778.70,1844.55,1840.55,1807.25,567,6266,11389045.00,,INE176A01028,14-Mar-22,,
500048,BEML LTD    ,A ,Q,1485.50,1537.85,1457.55,1532.00,1534.50,1481.65,974,6854,10322411.00,,INE258A01016,14-Mar-22,,
500049,BHARAT ELECT,A ,Q,216.00,216.05,209.25,209.65,209.65,214.60,3330,171474,36121438.00,,INE263A01024,14-Mar-22,,
500052,BHANSALI ENG,A ,Q,133.85,138.15,129.40,135.90,136.50,129.85,1751,88815,11978993.00,,INE922A01025,14-Mar-22,,
500058,BIHAR SPONGE,XT,Q,12.65,13.00,12.02,12.12,12.60,12.65,259,37815,462065.00,,INE819C01011,14-Mar-22,,
500060,BIRLACABLE  ,B ,Q,162.00,165.05,156.40,157.20,157.05,161.70,1123,52788,8474142.00,,INE800A01015,14-Mar-22,,
500067,BLUE STAR   ,A ,Q,999.95,1006.50,972.45,982.55,980.00,982.65,504,3629,3572555.00,,INE472A01039,14-Mar-22,,
500068,DISA INDIA  ,X ,Q,5999.00,6024.50,5859.05,5969.30,5946.05,5858.95,50,261,1558663.00,,INE131C01011,14-Mar-22,,
500069,BNK CAPITAL ,X ,Q,267.40,267.40,251.05,254.25,255.00,269.85,25,265,68097.00,,INE418C01012,14-Mar-22,,
500074,BPL LTD.    ,B ,Q,57.15,57.75,55.55,56.30,55.55,57.15,364,12909,732889.00,,INE110A01019,14-Mar-22,,
500078,OAL         ,B ,Q,665.00,667.35,650.00,654.95,654.95,661.75,83,341,224352.00,,INE959C01023,14-Mar-22,,
500083,CENTURY EXT ,B ,Q,11.80,12.50,11.80,12.23,12.19,12.30,184,16368,199704.00,,INE281A01026,14-Mar-22,,
500084,CESC LTD.   ,A ,Q,77.50,77.95,75.80,75.95,75.95,77.50,3228,175596,13472961.00,,INE486A01021,14-Mar-22,,
500085,CHAMBAL FERT,A ,Q,424.00,428.80,417.00,420.65,420.65,423.20,2239,80261,33851974.00,,INE085A01013,14-Mar-22,,
500086,EXIDE IND.  ,A ,Q,153.95,155.00,152.15,154.60,154.60,153.60,1566,96370,14815967.00,,INE302A01020,14-Mar-22,,
500087,CIPLA LTD.  ,A ,Q,1043.00,1057.75,1036.85,1048.40,1048.40,1044.40,8627,293242,307457772.00,,INE059A01026,14-Mar-22,,
500089,DIC INDIA   ,B ,Q,376.60,376.60,365.90,369.00,365.90,373.50,21,180,67024.00,,INE303A01010,14-Mar-22,,
500092,CRISIL LTD  ,A ,Q,2813.20,2860.00,2751.15,2816.30,2820.30,2768.15,596,2230,6262979.00,,INE007A01025,14-Mar-22,,
500093,CGPOWER     ,B ,Q,171.00,174.40,169.45,170.80,170.00,171.40,1455,90615,15540658.00,,INE067A01029,14-Mar-22,,
500096,DABUR (I)   ,A ,Q,549.90,549.90,532.60,539.95,540.00,547.40,2073,52790,28403835.00,,INE016A01026,14-Mar-22,,
500097,DALMIASUG   ,A ,Q,461.00,513.80,457.00,496.15,496.15,461.15,7786,123407,61091485.00,,INE495A01022,14-Mar-22,,
500101,ARVIND Ltd  ,A ,Q,117.95,120.85,117.95,118.80,119.65,117.95,1928,211673,25271187.00,,INE034A01011,14-Mar-22,,
500102,BALARPUR IND,Z ,Q,1.08,1.08,0.99,1.02,0.99,1.03,551,8860274,9459611.00,,INE294A01037,14-Mar-22,,
500103,BHEL        ,A ,Q,51.95,52.30,50.55,51.05,51.05,51.90,7385,2248584,114939197.00,,INE257A01026,14-Mar-22,,
500104,HIND.PETRO  ,A ,Q,297.00,297.00,277.60,279.15,279.15,294.25,5407,307062,86685303.00,,INE094A01015,14-Mar-22,,
500106,IFCI LTD    ,A ,Q,12.50,12.54,12.02,12.08,12.08,12.40,1124,691330,8423964.00,,INE039A01010,14-Mar-22,,
500108,MAHA.TELE   ,A ,Q,24.00,24.70,23.55,23.70,23.70,24.00,1503,406200,9744912.00,,INE153A01019,14-Mar-22,,
500109,MRPL        ,A ,Q,43.80,44.10,42.90,43.05,43.05,43.80,741,138576,6004803.00,,INE103A01014,14-Mar-22,,
500110,CHENNAI PET.,A ,Q,124.00,127.55,121.40,125.50,125.50,124.20,2693,183948,23005848.00,,INE178A01016,14-Mar-22,,
500111,REL.CAP.    ,B ,Q,14.37,14.37,14.37,14.37,14.37,13.69,383,235905,3389954.00,,INE013A01015,14-Mar-22,,
500112,STATE BANK  ,A ,Q,470.40,486.00,470.40,485.15,485.15,470.40,32711,2147933,1031577562.00,,INE062A01020,14-Mar-22,,
500113,STEEL AUTH. ,A ,Q,100.95,101.25,98.00,99.25,99.25,99.60,6277,1169692,116222725.00,,INE114A01011,14-Mar-22,,
500114,TITAN       ,A ,Q,2483.00,2545.00,2480.00,2538.00,2538.00,2494.70,4191,42092,105740667.00,,INE280A01028,14-Mar-22,,
500116,IDBI BANK L ,A ,Q,43.20,44.20,42.70,43.00,43.00,42.90,1825,666441,28814607.00,,INE008A01015,14-Mar-22,,
500117,DCW LTD.    ,B ,Q,42.65,42.70,41.20,41.90,41.60,42.05,1031,116195,4873907.00,,INE500A01029,14-Mar-22,,
500119,DHAMPUR SUGA,A ,Q,456.65,541.65,449.55,539.45,539.45,451.40,17807,842599,432387862.00,,INE041A01016,14-Mar-22,,
