SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1575.00,1625.40,1560.00,1566.70,1565.00,1564.35,921,9634,15278769.00,,INE117A01022,10-Jun-19,,
500003,AEGIS LOGIS ,A ,Q,222.70,223.45,216.00,220.15,222.25,222.70,400,10934,2428023.00,,INE208C01025,10-Jun-19,,
500008,AMAR RAJA BA,A ,Q,619.70,635.00,619.70,630.60,630.60,616.75,360,8701,5462249.00,,INE885A01032,10-Jun-19,,
500009,A.SARABHAI  ,X ,Q,14.00,14.05,13.00,13.75,13.75,13.82,105,21453,289520.00,,INE432A01017,10-Jun-19,,
500010,HDFC        ,A ,Q,2211.00,2225.65,2177.45,2196.50,2196.50,2209.00,2254,45058,98958412.00,,INE001A01036,10-Jun-19,,
500012,ANDHRA PETRO,X ,Q,56.55,56.70,55.05,55.90,55.90,54.65,307,47957,2673955.00,,INE714B01016,10-Jun-19,,
500013,ANSAL INFRAS,B ,Q,8.00,8.00,6.52,6.94,6.80,7.99,587,66923,456546.00,,INE436A01026,10-Jun-19,,
500014,APPLE FINANC,XT,Q,1.43,1.43,1.38,1.43,1.43,1.43,16,4358,6119.00,,INE096A01010,10-Jun-19,,
500016,ARUNAHTEL   ,XT,Q,7.10,7.10,7.10,7.10,7.10,7.35,1,100,710.00,,INE957C01019,10-Jun-19,,
500020,BOM DYEING  ,A ,Q,125.95,126.85,121.15,122.65,122.65,123.70,1200,123129,15172243.00,,INE032A01023,10-Jun-19,,
500024,ASSAMCO     ,T ,Q,1.35,1.41,1.30,1.41,1.41,1.35,66,136283,188608.00,,INE442A01024,10-Jun-19,,
500027,ATUL LTD.   ,A ,Q,4074.95,4088.50,4013.05,4042.10,4050.00,4029.45,264,681,2764897.00,,INE100A01010,10-Jun-19,,
500028,ATV PROJECTS,XT,Q,3.95,4.04,3.90,4.04,4.04,4.10,13,6400,25385.00,,INE447A01015,10-Jun-19,,
500029,AUTOLITE(I) ,Z ,Q,28.30,30.00,28.30,30.00,30.00,29.75,9,656,18661.00,,INE448A01013,10-Jun-19,,
500031,BAJAJ ELECT.,A ,Q,520.50,526.25,510.25,512.05,510.40,520.75,364,5551,2862065.00,,INE193E01025,10-Jun-19,,
500032,BAJAJHIND   ,B ,Q,8.80,8.90,8.55,8.65,8.65,8.63,203,154056,1337639.00,,INE306A01021,10-Jun-19,,
500033,FORCE MOTR  ,A ,Q,1515.00,1538.00,1490.00,1498.20,1498.20,1524.35,831,7047,10619996.00,,INE451A01017,10-Jun-19,,
