SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,B ,Q,911.00,950.00,870.00,881.90,879.70,895.00,1237,9836,8884108.00,,INE117A01022,03-Aug-20,,
500003,AEGIS LOGIS ,A ,Q,190.00,190.00,185.85,188.25,189.95,190.05,216,4564,856500.00,,INE208C01025,03-Aug-20,,
500008,AMAR RAJA BA,A ,Q,712.00,732.90,708.00,711.30,711.30,708.25,2897,62768,45237576.00,,INE885A01032,03-Aug-20,,
500009,A.SARABHAI  ,X ,Q,20.20,20.20,20.20,20.20,20.20,19.25,64,31370,633674.00,,INE432A01017,03-Aug-20,,
500010,HDFC        ,A ,Q,1782.85,1782.85,1730.75,1740.10,1740.10,1782.85,24599,383009,675582861.00,,INE001A01036,03-Aug-20,,
500012,ANDHRA PETRO,X ,Q,22.00,22.20,21.25,21.75,21.90,21.95,246,91457,1994981.00,,INE714B01016,03-Aug-20,,
500013,ANSAL INFRAS,T ,Q,3.95,4.07,3.95,4.00,4.00,3.92,13,7460,29650.00,,INE436A01026,03-Aug-20,,
500014,UTIQUE      ,XT,Q,1.52,1.53,1.52,1.53,1.53,1.53,6,860,1307.00,,INE096A01010,03-Aug-20,,
500020,BOM DYEING  ,A ,Q,58.70,62.35,58.40,61.70,61.70,59.00,2979,247561,15115332.00,,INE032A01023,03-Aug-20,,
500027,ATUL LTD.   ,A ,Q,5020.00,5092.55,5019.50,5046.90,5030.00,5047.20,195,679,3426060.00,,INE100A01010,03-Aug-20,,
500028,ATV PROJECTS,XT,Q,3.48,3.48,3.36,3.48,3.48,3.32,9,3580,12388.00,,INE447A01015,03-Aug-20,,
500029,AUTOLITE(I) ,B ,Q,19.15,19.80,18.50,19.35,19.50,18.95,70,1302,24731.00,,INE448A01013,03-Aug-20,,
500031,BAJAJ ELECT.,A ,Q,418.00,445.00,418.00,443.65,443.65,425.15,2561,46863,20575913.00,,INE193E01025,03-Aug-20,,
500032,BAJAJHIND   ,B ,Q,5.61,5.84,5.61,5.84,5.84,5.57,289,598914,3483640.00,,INE306A01021,03-Aug-20,,
500033,FORCE MOTR  ,A ,Q,929.95,929.95,885.00,904.10,903.15,888.05,523,2283,2067723.00,,INE451A01017,03-Aug-20,,
500034,BAJFINANCE  ,A ,Q,3236.00,3241.00,3168.30,3173.35,3173.35,3251.60,23934,249076,796281029.00,,INE296A01024,03-Aug-20,,
500038,BALRAM.CHINI,A ,Q,127.25,129.10,126.90,128.30,128.20,125.45,492,24613,3156150.00,,INE119A01028,03-Aug-20,,
500039,BANCO PROD. ,B ,Q,78.80,80.00,78.10,79.05,79.00,79.00,387,15622,1237149.00,,INE213C01025,03-Aug-20,,
500040,CENTURY TEXT,A ,Q,311.40,314.60,304.00,305.15,304.50,307.45,1009,61063,18853528.00,,INE055A01016,03-Aug-20,,
500041,BANNARI AMAN,B ,Q,1290.00,1290.00,1277.00,1277.00,1277.00,1275.00,7,11,14157.00,,INE459A01010,03-Aug-20,,
500042,BASF INDIA  ,A ,Q,1365.00,1462.00,1333.80,1435.85,1435.85,1333.85,2844,17498,24756152.00,,INE373A01013,03-Aug-20,,
500043,BATA INDIA  ,A ,Q,1269.00,1286.00,1252.00,1254.05,1254.05,1267.50,2586,38240,48482546.00,,INE176A01028,03-Aug-20,,
500048,BEML LTD    ,A ,Q,640.00,649.95,630.10,637.95,637.95,640.40,1052,36012,22921354.00,,INE258A01016,03-Aug-20,,
500049,BHARAT ELECT,A ,Q,95.40,99.10,95.00,96.80,96.80,95.85,4823,764914,74643780.00,,INE263A01024,03-Aug-20,,
500052,BHANSALI ENG,B ,Q,40.55,42.00,39.00,41.15,41.15,42.95,794,80590,3301039.00,,INE922A01025,03-Aug-20,,
500055,TATASTLBSL  ,B ,Q,21.80,22.05,20.00,21.75,21.75,21.85,289,65759,1407666.00,,INE824B01021,03-Aug-20,,
500058,BIHAR SPONGE,XT,Q,0.94,0.95,0.93,0.93,0.93,0.94,18,9433,8879.00,,INE819C01011,03-Aug-20,,
500060,BIRLACABLE  ,B ,Q,45.70,47.00,45.40,45.90,45.90,47.25,140,5734,264991.00,,INE800A01015,03-Aug-20,,
500067,BLUE STAR   ,A ,Q,498.00,498.00,475.00,482.35,482.35,486.85,219,1987,958676.00,,INE472A01039,03-Aug-20,,
500068,DISA INDIA  ,X ,Q,3450.00,3475.00,3408.50,3460.95,3436.85,3400.85,28,72,249220.00,,INE131C01011,03-Aug-20,,
500069,BNK CAPITAL ,X ,Q,69.85,69.85,69.75,69.75,69.75,66.55,2,2,139.00,,INE418C01012,03-Aug-20,,
500074,BPL LTD.    ,T ,Q,19.35,19.35,19.35,19.35,19.35,18.45,61,22894,442998.00,,INE110A01019,03-Aug-20,,
500078,OAL         ,B ,Q,354.10,360.00,325.00,330.30,330.30,343.05,372,5512,1840527.00,,INE959C01023,03-Aug-20,,
500083,CENTURY EXT ,B ,Q,3.89,4.06,3.89,3.99,3.99,4.00,50,20615,81750.00,,INE281A01026,03-Aug-20,,
500084,CESC LTD.   ,A ,Q,552.45,552.45,539.00,548.65,547.10,549.00,549,6723,3664282.00,,INE486A01013,03-Aug-20,,
500085,CHAMBAL FERT,A ,Q,159.00,159.75,155.00,155.45,155.45,158.30,1721,79218,12438577.00,,INE085A01013,03-Aug-20,,
500086,EXIDE IND.  ,A ,Q,151.00,159.40,151.00,154.50,154.30,155.65,5322,215830,33792395.00,,INE302A01020,03-Aug-20,,
500087,CIPLA LTD.  ,A ,Q,725.00,734.00,700.90,710.55,710.55,720.30,13856,638226,457665052.00,,INE059A01026,03-Aug-20,,
500089,DIC INDIA   ,B ,Q,350.00,355.00,340.50,347.85,347.80,343.25,61,983,345476.00,,INE303A01010,03-Aug-20,,
500092,CRISIL LTD  ,A ,Q,1636.30,1737.90,1636.30,1722.50,1727.00,1678.60,342,1112,1885441.00,,INE007A01025,03-Aug-20,,
500093,CGPOWER     ,B ,Q,9.80,9.80,9.80,9.80,9.80,9.34,189,201182,1971583.00,,INE067A01029,03-Aug-20,,
500096,DABUR (I)   ,A ,Q,513.55,518.45,507.40,509.85,513.30,513.45,2832,86580,44396545.00,,INE016A01026,03-Aug-20,,
500097,DALMIASUG   ,B ,Q,132.95,134.00,124.10,125.10,125.10,123.80,2158,64853,8307783.00,,INE495A01022,03-Aug-20,,
500101,ARVIND Ltd  ,A ,Q,29.25,29.25,27.55,27.75,27.75,28.75,1089,168299,4683983.00,,INE034A01011,03-Aug-20,,
500102,BALARPUR IND,T ,Q,2.54,2.54,2.43,2.54,2.54,2.42,1253,4188467,10609257.00,,INE294A01037,03-Aug-20,,
500103,BHEL        ,A ,Q,36.00,36.85,35.65,36.20,36.20,35.95,5347,2603391,94505275.00,,INE257A01026,03-Aug-20,,
500104,HIND.PETRO  ,A ,Q,217.00,221.85,212.75,218.05,218.45,215.00,4152,328255,71459055.00,,INE094A01015,03-Aug-20,,
500106,IFCI LTD    ,A ,Q,6.11,6.22,6.07,6.11,6.11,6.21,13229,534132,3281391.00,,INE039A01010,03-Aug-20,,
500108,MAHA.TELE   ,B ,Q,9.34,9.42,9.15,9.23,9.23,9.27,8484,92438,855038.00,,INE153A01019,03-Aug-20,,
500109,MRPL        ,A ,Q,36.00,37.60,36.00,36.15,36.15,36.45,642,97869,3576935.00,,INE103A01014,03-Aug-20,,
500110,CHENNAI PET.,A ,Q,80.00,81.20,78.50,79.00,79.00,79.60,525,52908,4198078.00,,INE178A01016,03-Aug-20,,
500111,REL.CAP.    ,T ,Q,9.02,9.94,9.02,9.88,9.88,9.49,1288,416232,3924723.00,,INE013A01015,03-Aug-20,,
500112,STATE BANK  ,A ,Q,194.00,194.50,190.15,192.10,192.10,191.45,17655,3185200,613504341.00,,INE062A01020,03-Aug-20,,
500113,STEEL AUTH. ,A ,Q,33.50,34.75,33.50,34.35,34.35,34.05,3635,1780760,60959040.00,,INE114A01011,03-Aug-20,,
500114,TITAN       ,A ,Q,1052.00,1094.70,1043.05,1076.15,1076.15,1043.25,11520,285055,307092825.00,,INE280A01028,03-Aug-20,,
500116,IDBI BANK L ,A ,Q,38.60,40.50,38.00,39.35,39.35,38.70,2353,490572,19403861.00,,INE008A01015,03-Aug-20,,
500117,DCW LTD.    ,B ,Q,11.00,11.58,10.74,11.25,11.14,10.94,227,60555,683221.00,,INE500A01029,03-Aug-20,,
500119,DHAMPUR SUGA,B ,Q,125.00,130.10,125.00,129.00,129.00,126.40,1656,52206,6711546.00,,INE041A01016,03-Aug-20,,
500120,DIAMINES&CHM,X ,Q,361.25,399.95,355.05,395.75,399.95,361.20,1725,103217,40244076.00,,INE591D01014,03-Aug-20,,
500123,ELANTAS     ,B ,Q,2135.00,2249.95,2135.00,2185.75,2180.00,2166.05,78,473,1039587.00,,INE280B01018,03-Aug-20,,
500124,DR.REDDY'S  ,A ,Q,4522.00,4666.70,4498.80,4524.10,4524.10,4521.90,7606,68278,312380848.00,,INE089A01023,03-Aug-20,,
500125,E.I.D.PAR   ,A ,Q,290.60,304.55,290.60,296.60,297.00,290.60,2284,58670,17551915.00,,INE126A01031,03-Aug-20,,
500126,PGHL        ,A ,Q,4180.05,4514.50,4130.00,4402.10,4402.10,4162.15,1514,29040,127563036.00,,INE199A01012,03-Aug-20,,
500128,ELEC.CASTING,B ,Q,14.32,14.55,14.27,14.43,14.44,14.25,241,46771,674381.00,,INE086A01029,03-Aug-20,,
500133,ESAB INDIA  ,B ,Q,1398.60,1410.00,1372.95,1379.25,1372.95,1393.30,91,447,624157.00,,INE284A01012,03-Aug-20,,
500135,ESSEL PROP  ,A ,Q,240.00,250.00,235.00,243.00,243.00,234.15,2723,62810,15268184.00,,INE255A01020,03-Aug-20,,
500136,ESTER INDUS.,B ,Q,57.10,59.05,56.60,59.05,59.05,56.25,223,37976,2230832.00,,INE778B01029,03-Aug-20,,
500142,FGP LTD.    ,X ,Q,1.00,1.00,1.00,1.00,1.00,0.96,2,1036,1036.00,,INE512A01016,03-Aug-20,,
500144,FINOL. CABLE,A ,Q,268.50,272.90,265.00,268.50,268.50,269.80,545,5618,1517248.00,,INE235A01022,03-Aug-20,,
500147,COCKERILL   ,X ,Q,535.00,539.00,500.00,521.05,520.00,534.00,60,1375,708933.00,,INE515A01019,03-Aug-20,,
500148,UFLEX LTD   ,A ,Q,268.20,279.00,267.35,277.45,276.95,265.05,758,12359,3386602.00,,INE516A01017,03-Aug-20,,
500150,FOSECO INDIA,B ,Q,1042.40,1042.40,1026.00,1030.05,1030.05,1041.60,8,20,20724.00,,INE519A01011,03-Aug-20,,
500151,GOLDEN TOB  ,B ,Q,21.10,21.95,20.05,21.00,20.95,21.10,76,3123,64561.00,,INE973A01010,03-Aug-20,,
500153,GANESH BENZO,X ,Q,41.95,43.30,41.00,43.25,43.25,41.25,630,225332,9520713.00,,INE388A01029,03-Aug-20,,
500155,GARDEN SILK ,T ,Q,11.78,11.78,11.78,11.78,11.78,12.40,21,4282,50441.00,,INE526A01016,03-Aug-20,,
500159,METROGLOBL  ,X ,Q,41.25,43.00,41.20,42.45,42.50,43.30,9,405,16948.00,,INE085D01033,03-Aug-20,,
500160,GTL LTD.    ,T ,Q,1.75,1.84,1.75,1.75,1.75,1.84,17,15900,28635.00,,INE043A01012,03-Aug-20,,
500163,GODFREY PH  ,A ,Q,913.00,922.25,911.00,915.85,918.00,916.25,577,12055,11053443.00,,INE260B01028,03-Aug-20,,
500164,GODREJ IND  ,A ,Q,353.35,358.95,350.50,357.80,357.75,353.80,275,2801,994363.00,,INE233A01035,03-Aug-20,,
500165,KANSAI NERO ,A ,Q,439.55,448.00,428.60,445.30,446.70,432.80,1167,14700,6460366.00,,INE531A01024,03-Aug-20,,
500166,GOODRICKE   ,X ,Q,221.55,230.50,221.55,228.10,227.50,227.45,141,11096,2525045.00,,INE300A01016,03-Aug-20,,
