SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1724.95,1760.00,1713.85,1749.80,1749.80,1716.30,1085,8669,15167686.00,,INE117A01022,13-Aug-21,,
500003,AEGIS LOGIS ,A ,Q,287.00,289.85,279.05,280.75,281.30,284.00,1896,55833,15908031.00,,INE208C01025,13-Aug-21,,
500008,AMAR RAJA BA,A ,Q,731.00,737.50,726.05,729.40,729.40,729.45,1423,27297,19983769.00,,INE885A01032,13-Aug-21,,
500009,A.SARABHAI  ,X ,Q,32.90,32.90,32.90,32.90,32.90,31.35,298,155368,5111607.00,,INE432A01017,13-Aug-21,,
500010,HDFC        ,A ,Q,2663.00,2715.00,2661.20,2703.15,2703.15,2668.75,8886,101571,274292792.00,,INE001A01036,13-Aug-21,,
500012,ANDHRA PETRO,XT,Q,182.20,182.50,172.10,174.00,174.00,176.50,1856,214268,37808345.00,,INE714B01016,13-Aug-21,,
500013,ANSAL INFRAS,B ,Q,9.11,9.40,8.50,8.61,8.71,9.20,158,27581,245986.00,,INE436A01026,13-Aug-21,,
500014,UTIQUE      ,X ,Q,3.35,3.50,3.06,3.25,3.33,3.26,93,21086,68715.00,,INE096A01010,13-Aug-21,,
500016,ARUNAHTEL   ,XT,Q,14.55,15.25,13.85,13.85,13.85,14.55,79,8219,118721.00,,INE957C01019,13-Aug-21,,
500020,BOM DYEING  ,A ,Q,97.30,97.70,94.60,95.80,95.80,96.50,3021,834908,80143313.00,,INE032A01023,13-Aug-21,,
500023,ASIANHOTNR  ,B ,Q,79.00,84.00,79.00,84.00,84.00,83.80,61,2053,167173.00,,INE363A01022,13-Aug-21,,
500027,ATUL LTD.   ,A ,Q,8900.00,9050.00,8900.00,8960.60,8950.65,8900.25,1404,23509,211770682.00,,INE100A01010,13-Aug-21,,
500028,ATV PROJECTS,XT,Q,10.33,10.34,9.50,10.02,10.00,9.88,96,46649,463010.00,,INE447A01015,13-Aug-21,,
