SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1430.00,1580.00,1417.00,1554.70,1580.00,1413.30,3220,22473,34191592.00,,INE117A01022,23-Sep-19,,
500003,AEGIS LOGIS ,A ,Q,192.00,192.45,175.75,177.80,177.80,184.50,1184,14653,2681268.00,,INE208C01025,23-Sep-19,,
500008,AMAR RAJA BA,A ,Q,668.00,731.40,668.00,718.20,718.00,668.25,2999,69329,49118918.00,,INE885A01032,23-Sep-19,,
500009,A.SARABHAI  ,X ,Q,10.80,11.29,10.41,10.63,10.63,11.14,75,18708,201804.00,,INE432A01017,23-Sep-19,,
500010,HDFC        ,A ,Q,2083.00,2194.75,2083.00,2159.30,2159.30,2052.10,17141,355642,762085194.00,,INE001A01036,23-Sep-19,,
500012,ANDHRA PETRO,X ,Q,43.00,44.30,43.00,43.50,43.40,42.55,209,28090,1223288.00,,INE714B01016,23-Sep-19,,
500013,ANSAL INFRAS,B ,Q,5.48,5.63,5.21,5.41,5.41,5.37,96,47895,258186.00,,INE436A01026,23-Sep-19,,
500014,APPLE FINANC,X ,Q,1.34,1.34,1.28,1.28,1.28,1.29,19,1729,2221.00,,INE096A01010,23-Sep-19,,
500016,ARUNAHTEL   ,XT,Q,6.50,6.50,6.20,6.20,6.20,6.50,4,250,1610.00,,INE957C01019,23-Sep-19,,
500020,BOM DYEING  ,A ,Q,89.60,93.50,88.80,90.55,90.55,88.00,6347,687676,62679722.00,,INE032A01023,23-Sep-19,,
500023,ASIANHOTNR  ,B ,Q,111.20,117.90,110.00,116.45,116.45,110.05,504,2102,241717.00,,INE363A01022,23-Sep-19,,
500024,ASSAMCO     ,T ,Q,0.63,0.65,0.63,0.65,0.65,0.62,24,35894,22980.00,,INE442A01024,23-Sep-19,,
500027,ATUL LTD.   ,A ,Q,3899.10,4010.00,3888.00,3929.55,3929.55,3793.60,863,3445,13632891.00,,INE100A01010,23-Sep-19,,
500028,ATV PROJECTS,XT,Q,3.60,3.96,3.60,3.66,3.66,3.78,7,1464,5585.00,,INE447A01015,23-Sep-19,,
500029,AUTOLITE(I) ,B ,Q,24.90,24.90,24.90,24.90,24.90,23.75,2,150,3735.00,,INE448A01013,23-Sep-19,,
500031,BAJAJ ELECT.,A ,Q,415.00,426.75,404.00,408.80,408.80,400.30,1069,14347,5916869.00,,INE193E01025,23-Sep-19,,
500032,BAJAJHIND   ,B ,Q,7.24,7.25,6.50,6.72,6.72,7.11,882,803511,5407344.00,,INE306A01021,23-Sep-19,,
500033,FORCE MOTR  ,A ,Q,1231.10,1258.00,1198.00,1201.90,1201.90,1196.55,2318,24837,30411893.00,,INE451A01017,23-Sep-19,,
500034,BAJFINANCE  ,A ,Q,3777.00,4070.00,3760.00,4027.85,4027.85,3705.60,24937,370747,1455571525.00,,INE296A01024,23-Sep-19,,
500038,BALRAM.CHINI,A ,Q,162.05,165.60,156.10,162.40,162.40,160.75,1704,129123,20826617.00,,INE119A01028,23-Sep-19,,
500039,BANCO PROD. ,B ,Q,116.20,116.50,112.10,114.45,114.45,110.70,777,20676,2357968.00,,INE213C01025,23-Sep-19,,
500040,CENTURY TEXT,A ,Q,967.10,986.50,956.45,967.10,965.25,952.40,1156,33796,32833328.00,,INE055A01016,23-Sep-19,,
500041,BANNARI AMAN,B ,Q,1343.00,1343.00,1209.00,1247.95,1247.95,1251.50,6,10,12798.00,,INE459A01010,23-Sep-19,,
500042,BASF INDIA  ,A ,Q,1041.00,1060.00,1024.05,1027.75,1027.75,1022.75,416,2121,2209904.00,,INE373A01013,23-Sep-19,,
