SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,T ,Q,1305.00,1305.00,1275.00,1284.10,1288.00,1287.35,80,1554,1996572.00,,INE117A01022,31-Dec-19,,
500003,AEGIS LOGIS ,A ,Q,188.00,194.35,186.30,193.50,193.25,190.05,388,8698,1669477.00,,INE208C01025,31-Dec-19,,
500008,AMAR RAJA BA,A ,Q,725.90,730.00,721.50,724.50,724.50,723.20,310,8435,6122790.00,,INE885A01032,31-Dec-19,,
500009,A.SARABHAI  ,XT,Q,15.50,16.19,15.31,15.69,15.89,15.79,65,30283,476118.00,,INE432A01017,31-Dec-19,,
500010,HDFC        ,A ,Q,2439.05,2439.05,2406.95,2413.45,2413.45,2437.50,2852,46908,113778264.00,,INE001A01036,31-Dec-19,,
500012,ANDHRA PETRO,X ,Q,33.35,37.00,33.35,36.30,36.20,33.55,609,122615,4382666.00,,INE714B01016,31-Dec-19,,
500013,ANSAL INFRAS,B ,Q,5.04,5.05,5.03,5.05,5.05,4.81,49,8239,41583.00,,INE436A01026,31-Dec-19,,
500014,APPLE FINANC,X ,Q,1.28,1.34,1.28,1.34,1.34,1.29,8,1710,2279.00,,INE096A01010,31-Dec-19,,
500020,BOM DYEING  ,A ,Q,75.40,80.30,75.40,79.25,79.25,74.45,6869,754580,59273525.00,,INE032A01023,31-Dec-19,,
500023,ASIANHOTNR  ,B ,Q,96.00,99.85,96.00,97.75,98.00,102.95,27,51,4970.00,,INE363A01022,31-Dec-19,,
500027,ATUL LTD.   ,A ,Q,4085.00,4105.20,4050.00,4053.30,4050.00,4067.75,278,493,2005656.00,,INE100A01010,31-Dec-19,,
500028,ATV PROJECTS,XT,Q,3.39,3.55,3.39,3.55,3.55,3.39,12,3818,13553.00,,INE447A01015,31-Dec-19,,
500029,AUTOLITE(I) ,B ,Q,24.60,24.60,21.30,21.60,22.00,20.60,45,1144,24940.00,,INE448A01013,31-Dec-19,,
500031,BAJAJ ELECT.,A ,Q,345.00,359.90,342.00,357.85,357.85,341.25,2693,19513,6889892.00,,INE193E01025,31-Dec-19,,
500032,BAJAJHIND   ,B ,Q,6.50,6.67,6.42,6.59,6.59,6.53,465,326580,2142006.00,,INE306A01021,31-Dec-19,,
500033,FORCE MOTR  ,A ,Q,1102.00,1112.50,1076.15,1084.90,1084.90,1112.90,1196,9116,10026445.00,,INE451A01017,31-Dec-19,,
500034,BAJFINANCE  ,A ,Q,4255.00,4266.00,4221.80,4235.10,4224.90,4237.85,1950,19860,84311071.00,,INE296A01024,31-Dec-19,,
500038,BALRAM.CHINI,A ,Q,182.90,185.55,181.75,183.35,183.35,183.35,1599,90016,16529203.00,,INE119A01028,31-Dec-19,,
500039,BANCO PROD. ,B ,Q,111.50,114.40,106.50,107.35,107.35,111.45,1108,14059,1550130.00,,INE213C01025,31-Dec-19,,
500040,CENTURY TEXT,A ,Q,480.00,482.40,475.65,477.15,477.15,478.50,469,17421,8333792.00,,INE055A01016,31-Dec-19,,
500041,BANNARI AMAN,B ,Q,1162.00,1219.00,1148.35,1176.85,1168.00,1168.30,49,149,177692.00,,INE459A01010,31-Dec-19,,
500042,BASF INDIA  ,A ,Q,1003.10,1010.95,985.45,987.65,987.65,995.50,739,10594,10527233.00,,INE373A01013,31-Dec-19,,
500043,BATA INDIA  ,A ,Q,1761.90,1771.80,1745.50,1750.70,1750.40,1761.60,1266,25834,45498144.00,,INE176A01028,31-Dec-19,,
500048,BEML LTD    ,A ,Q,979.60,999.00,979.60,983.60,983.60,982.20,1332,72933,72141487.00,,INE258A01016,31-Dec-19,,
500049,BHARAT ELECT,A ,Q,100.00,102.00,99.80,100.10,100.10,99.90,1037,203655,20533963.00,,INE263A01024,31-Dec-19,,
500052,BHANSALI ENG,B ,Q,51.00,55.00,50.55,51.90,51.90,48.30,5235,569719,30244864.00,,INE922A01025,31-Dec-19,,
500055,TATASTLBSL  ,B ,Q,30.05,30.05,29.75,29.80,29.75,30.00,170,64887,1938912.00,,INE824B01021,31-Dec-19,,
500058,BIHAR SPONGE,XT,Q,0.57,0.57,0.53,0.53,0.53,0.55,5,1102,584.00,,INE819C01011,31-Dec-19,,
500060,BIRLACABLE  ,B ,Q,60.45,62.50,58.20,61.05,60.10,58.85,282,9505,576682.00,,INE800A01015,31-Dec-19,,
500067,BLUE STAR   ,A ,Q,799.40,857.75,799.40,842.80,857.00,806.15,1336,4580,3796110.00,,INE472A01039,31-Dec-19,,
500068,DISA INDIA  ,X ,Q,5000.00,5000.00,4870.00,4882.00,4900.00,4999.85,17,68,333894.00,,INE131C01011,31-Dec-19,,
500074,BPL LTD.    ,B ,Q,19.35,19.45,18.85,19.05,18.85,19.40,52,8048,154147.00,,INE110A01019,31-Dec-19,,
500078,OAL         ,B ,Q,174.00,175.25,174.00,174.70,174.60,176.10,17,587,102721.00,,INE959C01023,31-Dec-19,,
