SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,2100.00,2137.00,2044.55,2089.15,2089.15,2179.00,1624,11501,24113942.00,,INE117A01022,14-Feb-22,,
500003,AEGIS LOGIS ,A ,Q,216.00,224.50,210.90,217.75,219.00,216.00,2154,82248,17929275.00,,INE208C01025,14-Feb-22,,
500008,AMAR RAJA BA,A ,Q,600.00,600.95,573.95,577.35,577.35,607.85,17583,194801,114504937.00,,INE885A01032,14-Feb-22,,
500009,A.SARABHAI  ,X ,Q,35.85,35.90,32.05,33.80,33.80,36.00,1117,283827,9775508.00,,INE432A01017,14-Feb-22,,
500010,HDFC        ,A ,Q,2382.00,2390.00,2291.00,2297.25,2297.25,2426.60,29918,178745,415610837.00,,INE001A01036,14-Feb-22,,
500012,ANDHRA PETRO,B ,Q,110.90,110.90,106.35,106.55,106.55,111.90,1947,209395,22514610.00,,INE714B01016,14-Feb-22,,
500013,ANSAL INFRAS,B ,Q,16.65,17.35,15.90,17.35,17.35,16.55,549,881309,15232167.00,,INE436A01026,14-Feb-22,,
500014,UTIQUE      ,XT,Q,6.69,7.39,6.69,7.05,7.39,7.04,795,252166,1784139.00,,INE096A01010,14-Feb-22,,
500016,ARUNAHTEL   ,XT,Q,9.85,9.85,9.55,9.60,9.60,10.05,82,9642,92512.00,,INE957C01019,14-Feb-22,,
500020,BOM DYEING  ,A ,Q,112.00,115.35,105.00,106.35,106.35,117.90,4159,407207,45323169.00,,INE032A01023,14-Feb-22,,
500023,ASIANHOTNR  ,B ,Q,78.65,83.05,76.90,77.20,76.90,78.80,95,7518,599372.00,,INE363A01022,14-Feb-22,,
500027,ATUL LTD.   ,A ,Q,9405.00,9537.00,9173.65,9310.65,9325.45,9526.45,1115,1784,16733174.00,,INE100A01010,14-Feb-22,,
500028,ATV PROJECTS,XT,Q,13.55,13.55,13.55,13.55,13.55,14.25,46,10661,144456.00,,INE447A01015,14-Feb-22,,
500031,BAJAJ ELECT.,A ,Q,1139.00,1160.70,1116.05,1146.55,1158.00,1165.40,1170,5753,6548433.00,,INE193E01025,14-Feb-22,,
500032,BAJAJHIND   ,A ,Q,14.65,15.10,14.65,14.65,14.65,15.40,5331,2654268,39140325.00,,INE306A01021,14-Feb-22,,
500033,FORCE MOTR  ,A ,Q,1150.00,1150.00,1073.50,1080.45,1080.45,1164.75,1388,6069,6716988.00,,INE451A01017,14-Feb-22,,
500034,BAJFINANCE  ,A ,Q,6844.00,6930.00,6745.00,6789.65,6789.65,7007.00,9085,49773,340548958.00,,INE296A01024,14-Feb-22,,
500038,BALRAM.CHINI,A ,Q,421.60,421.60,394.20,399.00,399.00,426.90,3395,103305,42224531.00,,INE119A01028,14-Feb-22,,
500039,BANCO PROD. ,B ,Q,167.50,167.50,157.80,157.95,158.45,167.75,564,85047,13534702.00,,INE213C01025,14-Feb-22,,
500040,CENTURY TEXT,A ,Q,836.30,836.30,783.45,793.85,789.85,837.50,1220,12993,10494779.00,,INE055A01016,14-Feb-22,,
500041,BANNARI AMAN,A ,Q,2652.00,2707.80,2541.70,2549.35,2553.85,2721.00,63,253,664323.00,,INE459A01010,14-Feb-22,,
500042,BASF INDIA  ,A ,Q,2794.95,2794.95,2688.00,2714.15,2730.00,2822.10,1155,4951,13511464.00,,INE373A01013,14-Feb-22,,
500043,BATA INDIA  ,A ,Q,1852.30,1852.30,1799.40,1808.40,1807.70,1859.35,1484,14638,26750454.00,,INE176A01028,14-Feb-22,,
500048,BEML LTD    ,A ,Q,1834.05,1834.05,1703.00,1732.40,1732.40,1856.40,1426,8706,15521704.00,,INE258A01016,14-Feb-22,,
500049,BHARAT ELECT,A ,Q,198.00,199.35,192.95,196.10,196.10,200.30,4508,282284,55385711.00,,INE263A01024,14-Feb-22,,
500052,BHANSALI ENG,A ,Q,135.35,135.35,126.50,128.95,128.95,137.35,3367,162297,21382236.00,,INE922A01025,14-Feb-22,,
500058,BIHAR SPONGE,XT,Q,11.67,11.67,11.09,11.09,11.09,11.67,167,74694,829727.00,,INE819C01011,14-Feb-22,,
500060,BIRLACABLE  ,B ,Q,121.25,139.50,121.25,126.20,126.20,132.50,3384,142389,18860561.00,,INE800A01015,14-Feb-22,,
500067,BLUE STAR   ,A ,Q,1010.00,1035.00,974.00,1003.95,1003.95,1044.85,953,5621,5708886.00,,INE472A01039,14-Feb-22,,
500068,DISA INDIA  ,X ,Q,6111.00,6298.00,5905.00,6065.75,6090.00,6256.30,67,298,1803464.00,,INE131C01011,14-Feb-22,,
500069,BNK CAPITAL ,X ,Q,265.90,287.90,265.90,273.50,284.50,274.15,58,726,200213.00,,INE418C01012,14-Feb-22,,
500074,BPL LTD.    ,B ,Q,62.10,62.75,55.90,57.80,58.65,62.10,829,39061,2313394.00,,INE110A01019,14-Feb-22,,
500078,OAL         ,B ,Q,644.00,661.45,609.00,617.70,617.00,646.45,784,6713,4258964.00,,INE959C01023,14-Feb-22,,
