SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1565.00,1578.45,1548.50,1573.40,1573.40,1554.70,1921,37286,58537461.00,,INE117A01022,24-Sep-19,,
500003,AEGIS LOGIS ,A ,Q,185.50,187.50,182.00,183.45,183.45,177.80,826,18502,3418014.00,,INE208C01025,24-Sep-19,,
500008,AMAR RAJA BA,A ,Q,746.05,750.00,721.00,727.75,726.00,718.20,2195,49045,35811057.00,,INE885A01032,24-Sep-19,,
500009,A.SARABHAI  ,X ,Q,10.60,10.89,10.50,10.75,10.75,10.63,24,4456,47241.00,,INE432A01017,24-Sep-19,,
500010,HDFC        ,A ,Q,2164.00,2185.15,2115.00,2130.15,2130.15,2159.30,6823,130534,279690353.00,,INE001A01036,24-Sep-19,,
500012,ANDHRA PETRO,X ,Q,43.55,43.55,42.45,43.35,43.20,43.50,145,17732,761929.00,,INE714B01016,24-Sep-19,,
500013,ANSAL INFRAS,B ,Q,5.55,5.68,5.40,5.50,5.50,5.41,52,22342,124651.00,,INE436A01026,24-Sep-19,,
500014,APPLE FINANC,X ,Q,1.22,1.34,1.22,1.22,1.22,1.28,15,2441,2988.00,,INE096A01010,24-Sep-19,,
500016,ARUNAHTEL   ,XT,Q,6.20,6.20,5.89,5.89,5.89,6.20,2,180,1100.00,,INE957C01019,24-Sep-19,,
500020,BOM DYEING  ,A ,Q,91.00,91.00,88.30,88.70,88.70,90.55,2334,211758,18922342.00,,INE032A01023,24-Sep-19,,
500023,ASIANHOTNR  ,B ,Q,107.00,107.00,103.55,104.65,104.65,116.45,20,1464,153951.00,,INE363A01022,24-Sep-19,,
500024,ASSAMCO     ,T ,Q,0.65,0.68,0.62,0.65,0.64,0.65,30,43777,28054.00,,INE442A01024,24-Sep-19,,
500027,ATUL LTD.   ,A ,Q,3998.00,3998.00,3931.85,3941.90,3941.90,3929.55,203,469,1854877.00,,INE100A01010,24-Sep-19,,
500028,ATV PROJECTS,XT,Q,3.50,3.80,3.50,3.58,3.58,3.66,14,1436,5218.00,,INE447A01015,24-Sep-19,,
