SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1453.60,1491.10,1448.00,1479.45,1479.45,1445.70,569,3280,4831478.00,,INE117A01022,02-Dec-19,,
500003,AEGIS LOGIS ,A ,Q,196.90,203.45,192.15,195.45,195.50,196.10,1202,15572,3072488.00,,INE208C01025,02-Dec-19,,
500008,AMAR RAJA BA,A ,Q,746.10,761.25,744.80,751.15,751.70,750.30,557,11679,8780270.00,,INE885A01032,02-Dec-19,,
500009,A.SARABHAI  ,X ,Q,11.00,11.00,10.01,10.36,10.15,10.90,42,14086,146698.00,,INE432A01017,02-Dec-19,,
500010,HDFC        ,A ,Q,2304.25,2315.00,2265.00,2306.45,2306.45,2295.95,2931,82988,190868872.00,,INE001A01036,02-Dec-19,,
500012,ANDHRA PETRO,X ,Q,36.00,36.00,33.50,34.35,34.25,34.70,106,13078,444980.00,,INE714B01016,02-Dec-19,,
500013,ANSAL INFRAS,B ,Q,4.90,4.90,4.81,4.81,4.81,4.91,2,350,1692.00,,INE436A01026,02-Dec-19,,
500014,APPLE FINANC,X ,Q,1.06,1.12,1.06,1.12,1.12,1.07,15,32134,35912.00,,INE096A01010,02-Dec-19,,
500016,ARUNAHTEL   ,XT,Q,6.51,7.00,6.51,7.00,7.00,6.85,3,251,1746.00,,INE957C01019,02-Dec-19,,
500020,BOM DYEING  ,A ,Q,82.45,83.30,79.50,80.70,80.70,82.30,2912,351859,28615661.00,,INE032A01023,02-Dec-19,,
500023,ASIANHOTNR  ,B ,Q,101.00,101.00,101.00,101.00,101.00,103.25,1,50,5050.00,,INE363A01022,02-Dec-19,,
500027,ATUL LTD.   ,A ,Q,4030.10,4085.75,4014.45,4024.05,4021.50,4044.00,207,508,2050728.00,,INE100A01010,02-Dec-19,,
500028,ATV PROJECTS,XT,Q,3.35,3.50,3.20,3.30,3.30,3.35,22,30738,100484.00,,INE447A01015,02-Dec-19,,
500029,AUTOLITE(I) ,B ,Q,26.70,26.70,22.05,24.00,24.00,24.35,13,1096,28152.00,,INE448A01013,02-Dec-19,,
500031,BAJAJ ELECT.,A ,Q,341.60,350.00,325.55,327.50,327.50,339.35,596,9581,3166931.00,,INE193E01025,02-Dec-19,,
500032,BAJAJHIND   ,B ,Q,6.75,6.75,6.41,6.45,6.45,6.48,3150,111441,724178.00,,INE306A01021,02-Dec-19,,
500033,FORCE MOTR  ,A ,Q,1042.55,1045.00,1020.00,1022.00,1022.00,1044.65,426,2493,2561195.00,,INE451A01017,02-Dec-19,,
500034,BAJFINANCE  ,A ,Q,4089.00,4089.00,3923.00,3949.40,3949.40,4073.25,6429,145558,578509805.00,,INE296A01024,02-Dec-19,,
500038,BALRAM.CHINI,A ,Q,154.00,156.15,152.80,155.20,155.25,152.90,957,66621,10295309.00,,INE119A01028,02-Dec-19,,
500039,BANCO PROD. ,B ,Q,95.50,96.00,94.60,95.00,94.60,95.35,257,10153,969754.00,,INE213C01025,02-Dec-19,,
500040,CENTURY TEXT,A ,Q,466.05,474.40,457.60,470.00,474.40,462.45,1761,118659,55877435.00,,INE055A01016,02-Dec-19,,
500042,BASF INDIA  ,A ,Q,1023.10,1023.10,992.60,997.40,997.00,997.20,209,718,721404.00,,INE373A01013,02-Dec-19,,
500043,BATA INDIA  ,A ,Q,1624.60,1636.75,1616.70,1626.80,1628.10,1629.50,748,33625,54704877.00,,INE176A01028,02-Dec-19,,
500048,BEML LTD    ,A ,Q,996.00,1048.50,986.10,1036.75,1036.75,996.45,2912,74051,75586407.00,,INE258A01016,02-Dec-19,,
500049,BHARAT ELECT,A ,Q,104.00,104.00,100.75,103.10,103.10,103.05,2034,395538,40379965.00,,INE263A01024,02-Dec-19,,
500052,BHANSALI ENG,B ,Q,47.25,47.60,45.10,45.90,46.00,47.25,1786,121991,5674908.00,,INE922A01025,02-Dec-19,,
500055,TATASTLBSL  ,B ,Q,26.80,26.90,26.50,26.55,26.50,26.95,163,35642,947184.00,,INE824B01021,02-Dec-19,,
500058,BIHAR SPONGE,XT,Q,0.52,0.52,0.48,0.50,0.50,0.50,16,7130,3460.00,,INE819C01011,02-Dec-19,,
500059,BINANI IND. ,Z ,Q,6.34,7.00,6.34,6.34,6.34,6.67,16,3023,19297.00,,INE071A01013,02-Dec-19,,
500060,BIRLACABLE  ,B ,Q,62.15,65.15,60.60,64.70,65.15,62.05,179,14649,924338.00,,INE800A01015,02-Dec-19,,
500067,BLUE STAR   ,A ,Q,790.10,799.80,780.00,796.45,798.35,785.95,486,1441,1141023.00,,INE472A01039,02-Dec-19,,
500068,DISA INDIA  ,X ,Q,5089.00,5089.95,4801.00,4937.45,4900.00,4911.00,23,50,248056.00,,INE131C01011,02-Dec-19,,
500074,BPL LTD.    ,B ,Q,19.70,19.70,18.25,18.55,18.55,18.45,105,14651,272693.00,,INE110A01019,02-Dec-19,,
500078,OAL         ,B ,Q,181.25,185.95,176.60,180.55,180.55,180.10,28,547,98853.00,,INE959C01023,02-Dec-19,,
500083,CENTURY EXT ,B ,Q,2.89,2.89,2.65,2.65,2.65,2.66,9,9010,23903.00,,INE281A01026,02-Dec-19,,
500084,CESC LTD.   ,A ,Q,751.50,769.00,741.25,745.10,743.95,750.60,1001,18142,13726230.00,,INE486A01013,02-Dec-19,,
500085,CHAMBAL FERT,A ,Q,149.70,151.40,148.75,149.40,149.40,149.05,446,15352,2292898.00,,INE085A01013,02-Dec-19,,
500086,EXIDE IND.  ,A ,Q,195.00,197.60,192.25,193.45,193.45,195.00,1217,52732,10271904.00,,INE302A01020,02-Dec-19,,
500087,CIPLA LTD.  ,A ,Q,469.95,470.00,455.45,464.35,464.45,466.60,2767,79576,36775718.00,,INE059A01026,02-Dec-19,,
500089,DIC INDIA   ,B ,Q,323.90,323.90,323.90,323.90,323.90,316.45,9,10,3239.00,,INE303A01010,02-Dec-19,,
500092,CRISIL LTD  ,A ,Q,1551.00,1633.50,1551.00,1623.15,1633.50,1580.75,862,2514,4069707.00,,INE007A01025,02-Dec-19,,
500093,CGPOWER     ,A ,Q,13.66,13.66,13.09,13.15,13.20,13.69,342,136705,1797466.00,,INE067A01029,02-Dec-19,,
500096,DABUR (I)   ,A ,Q,460.00,460.00,449.30,453.90,453.90,459.25,1022,55622,25204725.00,,INE016A01026,02-Dec-19,,
500097,DALMIASUG   ,B ,Q,85.55,86.30,84.10,84.75,84.10,84.65,258,5253,448902.00,,INE495A01022,02-Dec-19,,
500101,ARVIND Ltd  ,A ,Q,43.30,43.35,41.95,42.10,42.10,43.15,698,140102,5932620.00,,INE034A01011,02-Dec-19,,
500102,BALARPUR IND,B ,Q,0.60,0.60,0.59,0.60,0.60,0.58,103,1558123,934872.00,,INE294A01037,02-Dec-19,,
500103,BHEL        ,A ,Q,53.60,53.75,51.05,51.20,51.20,53.30,10980,1981004,103233675.00,,INE257A01026,02-Dec-19,,
500104,HIND.PETRO  ,A ,Q,283.00,283.75,278.20,281.70,280.95,282.35,1512,151779,42655125.00,,INE094A01015,02-Dec-19,,
500106,IFCI LTD    ,A ,Q,7.05,7.12,6.95,6.98,6.98,7.06,711,357052,2502544.00,,INE039A01010,02-Dec-19,,
500108,MAHA.TELE   ,T ,Q,9.00,9.43,9.00,9.17,9.20,8.99,482,228424,2115139.00,,INE153A01019,02-Dec-19,,
500109,MRPL        ,A ,Q,47.70,48.00,47.10,47.20,47.10,47.70,126,10094,480044.00,,INE103A01014,02-Dec-19,,
500110,CHENNAI PET.,A ,Q,126.30,126.35,121.00,122.05,122.05,125.80,869,10243,1261169.00,,INE178A01016,02-Dec-19,,
500111,REL.CAP.    ,A ,Q,15.50,15.60,14.40,14.40,14.40,15.15,1145,562243,8238116.00,,INE013A01015,02-Dec-19,,
500112,STATE BANK  ,A ,Q,343.35,344.05,336.20,338.55,338.55,341.85,9036,957734,325141014.00,,INE062A01020,02-Dec-19,,
500113,STEEL AUTH. ,A ,Q,39.35,39.75,38.90,39.45,39.45,39.35,2988,1225428,48146157.00,,INE114A01011,02-Dec-19,,
500114,TITAN       ,A ,Q,1161.00,1161.05,1143.60,1153.40,1154.00,1160.75,1592,61401,70715410.00,,INE280A01028,02-Dec-19,,
500116,IDBI BANK L ,A ,Q,37.70,38.40,36.80,37.20,37.20,37.70,2109,1010503,37825895.00,,INE008A01015,02-Dec-19,,
500117,DCW LTD.    ,B ,Q,14.04,14.04,13.61,13.75,13.75,13.95,72,32554,447863.00,,INE500A01029,02-Dec-19,,
500119,DHAMPUR SUGA,B ,Q,172.00,174.00,170.90,171.50,171.50,170.90,1441,44063,7576855.00,,INE041A01016,02-Dec-19,,
500120,DIAMINES&CHM,X ,Q,115.50,116.70,115.20,115.65,115.65,115.95,113,32436,3763665.00,,INE591D01014,02-Dec-19,,
500123,ELANTAS     ,B ,Q,2295.00,2295.05,2250.05,2255.45,2255.00,2299.95,58,283,641010.00,,INE280B01018,02-Dec-19,,
500124,DR.REDDY'S  ,A ,Q,2901.35,2911.60,2853.40,2870.55,2868.70,2912.60,582,7679,22020209.00,,INE089A01023,02-Dec-19,,
500125,E.I.D.PAR   ,A ,Q,182.20,187.90,180.65,182.50,182.50,177.75,624,42353,7756137.00,,INE126A01031,02-Dec-19,,
500126,PGHL        ,A ,Q,4330.00,4395.00,4320.00,4335.50,4340.00,4338.05,167,470,2045534.00,,INE199A01012,02-Dec-19,,
500128,ELEC.CASTING,B ,Q,11.47,11.50,11.00,11.49,11.49,11.47,121,27527,314505.00,,INE086A01029,02-Dec-19,,
500132,EMPEE SUGARS,Z ,Q,0.57,0.57,0.57,0.57,0.57,0.55,1,1,0.00,,INE928B01012,02-Dec-19,,
500133,ESAB INDIA  ,B ,Q,1279.00,1312.05,1270.25,1284.55,1297.75,1268.05,54,499,644949.00,,INE284A01012,02-Dec-19,,
500135,ESSEL PROP  ,A ,Q,156.10,156.10,149.00,150.65,149.60,154.00,184,4922,745614.00,,INE255A01020,02-Dec-19,,
500136,ESTER INDUS.,T ,Q,32.55,33.20,32.30,32.90,33.20,32.85,32,3588,116660.00,,INE778B01029,02-Dec-19,,
