SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1300.05,1309.00,1294.00,1297.00,1295.05,1299.85,397,8061,10491069.00,,INE117A01022,08-Jan-19,,
500003,AEGIS LOGIS ,A ,Q,209.10,219.00,204.25,208.90,208.90,208.10,111,2999,630550.00,,INE208C01025,08-Jan-19,,
500008,AMAR RAJA BA,A ,Q,737.10,742.55,728.65,738.55,739.70,735.65,499,15591,11458747.00,,INE885A01032,08-Jan-19,,
500009,A.SARABHAI  ,X ,Q,12.64,12.65,12.00,12.41,12.41,12.45,59,44819,549770.00,,INE432A01017,08-Jan-19,,
500010,HDFC        ,A ,Q,2007.00,2007.00,1948.20,1959.25,1955.00,1971.00,6019,101713,199462353.00,,INE001A01036,08-Jan-19,,
500012,ANDHRA PETRO,X ,Q,69.70,82.00,69.70,72.15,72.15,68.80,1418,265537,19429655.00,,INE714B01016,08-Jan-19,,
500013,ANSAL INFRAS,B ,Q,13.35,14.95,12.60,13.93,13.93,12.96,1106,246418,3479365.00,,INE436A01026,08-Jan-19,,
500014,APPLE FINANC,XT,Q,1.76,1.76,1.76,1.76,1.76,1.76,4,390,686.00,,INE096A01010,08-Jan-19,,
500016,ARUNAHTEL   ,XT,Q,10.12,10.12,9.62,10.00,10.00,10.12,13,370,3639.00,,INE957C01019,08-Jan-19,,
500020,BOM DYEING  ,B ,Q,112.20,114.00,110.85,111.40,111.40,111.25,1487,188616,21132187.00,,INE032A01023,08-Jan-19,,
500024,ASSAMCO     ,B ,Q,1.92,2.05,1.92,1.97,1.97,1.98,341,71840,143054.00,,INE442A01024,08-Jan-19,,
500027,ATUL LTD.   ,A ,Q,3470.00,3473.75,3427.40,3438.20,3445.00,3453.05,39,76,262560.00,,INE100A01010,08-Jan-19,,
500028,ATV PROJECTS,XT,Q,7.89,8.71,7.89,8.40,8.40,8.30,39,5404,46075.00,,INE447A01015,08-Jan-19,,
500029,AUTOLITE(I) ,B ,Q,41.25,41.90,40.25,40.40,40.25,41.85,62,4879,199721.00,,INE448A01013,08-Jan-19,,
500031,BAJAJ ELECT.,A ,Q,491.35,496.60,488.25,490.25,494.40,495.45,187,4690,2304696.00,,INE193E01025,08-Jan-19,,
500032,BAJAJHIND   ,B ,Q,9.01,9.47,8.96,9.34,9.34,9.01,710,505679,4674735.00,,INE306A01021,08-Jan-19,,
500033,FORCE MOTR  ,A ,Q,1612.70,1635.00,1600.00,1624.65,1624.65,1604.05,1023,11684,18961386.00,,INE451A01017,08-Jan-19,,
500034,BAJFINANCE  ,A ,Q,2545.05,2581.95,2526.50,2535.05,2535.05,2552.65,4528,368431,934282393.00,,INE296A01024,08-Jan-19,,
500038,BALRAM.CHINI,A ,Q,108.50,112.40,107.25,111.35,111.35,107.65,2704,437431,48270276.00,,INE119A01028,08-Jan-19,,
500039,BANCO PROD. ,B ,Q,182.25,184.05,182.10,183.50,183.50,183.05,42,1186,217348.00,,INE213C01025,08-Jan-19,,
500040,CENTURY TEXT,A ,Q,906.45,911.95,898.55,905.50,908.35,904.85,571,26280,23816839.00,,INE055A01016,08-Jan-19,,
500041,BANNARI AMAN,B ,Q,1482.00,1482.00,1450.00,1476.00,1476.00,1481.00,20,2309,3351372.00,,INE459A01010,08-Jan-19,,
500042,BASF INDIA  ,A ,Q,1542.45,1546.00,1517.55,1524.55,1518.05,1536.85,149,1025,1571217.00,,INE373A01013,08-Jan-19,,
500043,BATA INDIA  ,A ,Q,1127.00,1134.50,1113.80,1129.45,1131.00,1124.40,1374,34192,38488055.00,,INE176A01028,08-Jan-19,,
500048,BEML LTD    ,A ,Q,912.00,926.00,905.55,916.55,916.55,911.55,4484,192662,176511158.00,,INE258A01016,08-Jan-19,,
500049,BHARAT ELECT,A ,Q,91.65,91.70,90.15,91.00,91.00,91.35,974,213554,19399451.00,,INE263A01024,08-Jan-19,,
500052,BHANSALI ENG,B ,Q,86.90,91.90,86.70,88.45,88.45,87.30,1131,101925,9158067.00,,INE922A01025,08-Jan-19,,
500055,TATASTLBSL  ,T ,Q,37.20,37.45,36.25,36.65,36.90,37.15,526,132724,4891625.00,,INE824B01021,08-Jan-19,,
500058,BIHAR SPONGE,XT,Q,0.81,0.81,0.81,0.81,0.81,0.78,5,4633,3752.00,,INE819C01011,08-Jan-19,,
500059,BINANI IND. ,B ,Q,70.00,71.45,69.00,69.45,70.00,69.75,47,5344,373189.00,,INE071A01013,08-Jan-19,,
500060,BIRLACABLE  ,B ,Q,192.20,196.70,192.20,194.80,194.80,195.60,258,5440,1061604.00,,INE800A01015,08-Jan-19,,
500067,BLUE STAR   ,A ,Q,624.90,624.90,610.50,614.60,610.50,614.05,65,469,288308.00,,INE472A01039,08-Jan-19,,
500068,DISA INDIA  ,X ,Q,5330.00,5450.00,5330.00,5450.00,5450.00,5394.95,15,2034,10984174.00,,INE131C01011,08-Jan-19,,
500069,BNK CAPITAL ,X ,Q,101.25,101.25,101.25,101.25,101.25,103.85,3,375,37968.00,,INE418C01012,08-Jan-19,,
500074,BPL LTD.    ,B ,Q,41.40,41.40,39.80,40.10,40.05,40.15,135,18791,754140.00,,INE110A01019,08-Jan-19,,
500078,OAL         ,X ,Q,265.00,268.25,256.05,259.35,259.00,267.55,139,5215,1362525.00,,INE959C01023,08-Jan-19,,
500083,CENTURY EXT ,B ,Q,7.50,7.50,7.21,7.25,7.26,7.34,46,17960,130745.00,,INE281A01026,08-Jan-19,,
500084,CESC LTD.   ,A ,Q,654.85,658.15,651.50,655.75,657.75,653.20,368,9870,6465013.00,,INE486A01013,08-Jan-19,,
500085,CHAMBAL FERT,A ,Q,156.00,157.00,155.95,156.95,157.00,157.10,144,55712,8743187.00,,INE085A01013,08-Jan-19,,
500086,EXIDE IND.  ,A ,Q,262.00,263.50,259.50,260.40,260.40,261.55,483,170977,44661980.00,,INE302A01020,08-Jan-19,,
500087,CIPLA LTD.  ,A ,Q,515.00,516.15,511.85,513.35,514.00,513.65,683,35730,18354819.00,,INE059A01026,08-Jan-19,,
500089,DIC INDIA   ,B ,Q,373.50,373.50,373.00,373.40,373.00,378.00,3,25,9334.00,,INE303A01010,08-Jan-19,,
500092,CRISIL LTD  ,A ,Q,1601.05,1640.00,1601.00,1616.80,1615.10,1632.80,63,5004,8130436.00,,INE007A01025,08-Jan-19,,
500093,CGPOWER     ,A ,Q,44.65,47.25,44.20,46.05,46.05,44.70,4283,1091098,50082648.00,,INE067A01029,08-Jan-19,,
500096,DABUR (I)   ,A ,Q,421.00,422.30,414.50,417.50,417.50,421.00,1637,48706,20364321.00,,INE016A01026,08-Jan-19,,
500097,DALMIASUG   ,B ,Q,97.00,100.00,96.20,98.75,98.75,95.30,468,39866,3905021.00,,INE495A01022,08-Jan-19,,
500101,ARVIND Ltd  ,A ,Q,96.70,97.60,95.60,96.10,96.00,96.05,1015,132667,12766984.00,,INE034A01011,08-Jan-19,,
500102,BALARPUR IND,B ,Q,5.50,5.58,5.44,5.53,5.57,5.40,158,137357,758882.00,,INE294A01037,08-Jan-19,,
500103,BHEL        ,A ,Q,71.80,72.10,71.10,71.35,71.35,72.25,2705,749265,53536664.00,,INE257A01026,08-Jan-19,,
500104,HIND.PETRO  ,A ,Q,249.00,249.55,246.10,247.85,247.85,248.95,2301,229169,56875634.00,,INE094A01015,08-Jan-19,,
500106,IFCI LTD    ,A ,Q,14.80,14.94,14.66,14.85,14.85,14.74,369,216002,3199955.00,,INE039A01010,08-Jan-19,,
500108,MAHA.TELE   ,B ,Q,15.90,15.95,15.30,15.50,15.50,15.95,823,321388,5022125.00,,INE153A01019,08-Jan-19,,
500109,MRPL        ,A ,Q,72.60,72.65,71.80,72.30,72.35,71.90,414,49153,3554192.00,,INE103A01014,08-Jan-19,,
500110,CHENNAI PET.,A ,Q,284.25,285.15,280.10,281.65,281.35,284.20,203,13008,3674039.00,,INE178A01016,08-Jan-19,,
500111,REL.CAP.    ,A ,Q,217.60,222.45,215.80,221.60,221.60,217.75,4308,481827,105801134.00,,INE013A01015,08-Jan-19,,
500112,STATE BANK  ,A ,Q,295.00,305.80,294.70,305.10,305.10,295.70,11438,1613023,485912053.00,,INE062A01020,08-Jan-19,,
